"survey_uuid","Field.ID","Country","Landscape..","Household.ID","median_field_size","Total_Area_Farmed","intercrop_rate","pesticide","herbicide","fungicide","pct_fields_irrigated","pct_fields_inorganic_fert","pct_buy_seed"
"000c9396-d999-45ad-900e-b77ae47ceca9","M1","TZA","L20","zRYovaahru9",11.5,11.5,0,0,1,0,0,0,1
"00834288-d9ca-4830-9660-5860e6494839","M1","RWA","L02","U4AbXpgwpoA",0.4154,0.4154,0,0,0.5,0,0,1,1
"00834288-d9ca-4830-9660-5860e6494839","M2","RWA","L02","U4AbXpgwpoA",NA,0,0,0,0,0,0,0,0
"0096c328-d5d3-4c80-9b87-f96e87f2ab4b","M1","TZA","L10","ZAXs3MY83J",1.1,1.1,0,1,0,0,0,0,0
"0096c328-d5d3-4c80-9b87-f96e87f2ab4b","M2","TZA","L10","ZAXs3MY83J",1.2,1.2,1,1,0,0,0,0,0
"00a1f24b-dc53-44d3-b76c-8b957ea0274b","M1","UGA","L03","1DKzT4xkSq9",1.2,1.2,1,0,1,0,0,0,1
"00a1f24b-dc53-44d3-b76c-8b957ea0274b","M2","UGA","L03","1DKzT4xkSq9",0.8,0.8,NA,0,0,0,0,0,NA
"00cdff25-a513-452f-af4a-7e7109a535ad","M1","UGA","L01","hyWdWQ552X7",0.27,0.27,0,0,0,0,0,0,0
"00cdff25-a513-452f-af4a-7e7109a535ad","M2","UGA","L01","hyWdWQ552X7",0.31,0.31,0,0,0,0,0,0,0
"00cdff25-a513-452f-af4a-7e7109a535ad","M3","UGA","L01","hyWdWQ552X7",0.34,0.34,1,0,0,0,0,0,0
"00e040b8-eed3-4783-affc-bd00fbd045d6","M1","GHA","L01","Xg5bY5Ztxx2",7.4,7.4,NA,0,1,0,0,1,0
"00e040b8-eed3-4783-affc-bd00fbd045d6","M2","GHA","L01","Xg5bY5Ztxx2",2.3,2.3,NA,0,1,0,0,0,0
"0194ed8f-e6b6-4068-902d-fd0fd6f71651","M1","RWA","L03","TY6c2BvPeq8",0.3206,0.3206,0,0,0,0,0,0,0.5
"0194ed8f-e6b6-4068-902d-fd0fd6f71651","M2","RWA","L03","TY6c2BvPeq8",0.2489,0.2489,0,0,0,0,0,0,0.5
"0207b89d-1f9e-4e49-ab52-23cc4e68a3de","M1","TZA","L10","qBummgzDBd8",3.2,3.2,1,0,0,0,0,0,0
"029e99b4-6ea2-46e4-a89d-91d96aff41c4","M1","RWA","L06","NpBRQomLNX3",0.2679,0.2679,1,0,0,0,0,0,0
"029e99b4-6ea2-46e4-a89d-91d96aff41c4","M2","RWA","L06","NpBRQomLNX3",0.2103,0.2103,0,0,0,0,0,0,0
"029e99b4-6ea2-46e4-a89d-91d96aff41c4","M3","RWA","L06","NpBRQomLNX3",0.2016,0.2016,0,0,0,0,0,0,0
"029e99b4-6ea2-46e4-a89d-91d96aff41c4","M4","RWA","L06","NpBRQomLNX3",0.1085,0.1085,NA,0.5,0,0,0,0.5,NA
"02ffb259-bc8e-4221-99d2-c250997e0922","M1","TZA","L22","A4HX8ZvF3a8",3.3,3.3,0,0,0,0,0,0,0
"0317d7a0-50ac-4692-ac38-a9015c680c63","M1","RWA","L07","mE3oDzqBqu4",0.3056,0.3056,0.666666666666667,0,0,0,0,0,0.333333333333333
"0317d7a0-50ac-4692-ac38-a9015c680c63","M2","RWA","L07","mE3oDzqBqu4",0.1431,0.1431,1,0,0,0,0,0,0
"0317d7a0-50ac-4692-ac38-a9015c680c63","M3","RWA","L07","mE3oDzqBqu4",NA,0,0,0,0,0,0,0,0
"031bba75-b554-451c-afa1-a41db7eabdef","M1","UGA","L06","2Zy882qHx74",2.1,2.1,0,0,1,0,0,0,0
"031bba75-b554-451c-afa1-a41db7eabdef","M2","UGA","L06","2Zy882qHx74",0.4,0.4,0,0,1,0,0,0,0
"031bba75-b554-451c-afa1-a41db7eabdef","M3","UGA","L06","2Zy882qHx74",NA,0,0,0,1,0,0,0,0
"031bba75-b554-451c-afa1-a41db7eabdef","M4","UGA","L06","2Zy882qHx74",0.17,0.17,NA,0,0,0,0,0,NA
"037248dd-bbfd-4159-8696-524b46520b3c","M1","RWA","L04","jDuNCdZs246",0.1742,0.1742,0,0.5,0,0,0,0.5,1
"037248dd-bbfd-4159-8696-524b46520b3c","M2","RWA","L04","jDuNCdZs246",0.2604,0.2604,0,0.5,0,0,0,0.5,1
"037d10d0-3881-4cfe-b5ea-68a591657516","M1","UGA","L02","ZbpM6thc1b2",0.31,0.31,1,0,0,0,0,0,0
"037d10d0-3881-4cfe-b5ea-68a591657516","M2","UGA","L02","ZbpM6thc1b2",0.13,0.13,1,0,0,0,0,0,0
"037d10d0-3881-4cfe-b5ea-68a591657516","M3","UGA","L02","ZbpM6thc1b2",0.33,0.33,1,0,0,0,0,0,0
"03821c3f-f3ef-4d99-be85-74a2b72b2b97","M1","RWA","L02","DEfS8gcomk3",0.1159,0.1159,0,0,0,0,0,0,0
"03821c3f-f3ef-4d99-be85-74a2b72b2b97","M2","RWA","L02","DEfS8gcomk3",0.0378,0.0378,0,0,0,0,0,0,0
"038903fa-666f-4e8c-a7b2-37884ad8b64a","M1","GHA","L02","d4TMBLeBJr2",7.2076,7.2076,0,0,1,0,0,0,0
"038903fa-666f-4e8c-a7b2-37884ad8b64a","M2","GHA","L02","d4TMBLeBJr2",NA,0,0,0,1,0,0,0,1
"038903fa-666f-4e8c-a7b2-37884ad8b64a","M3","GHA","L02","d4TMBLeBJr2",0.8713,0.8713,0,0,1,0,0,0,0
"038903fa-666f-4e8c-a7b2-37884ad8b64a","M4","GHA","L02","d4TMBLeBJr2",5.83589,5.83589,0,0,1,0,0,0,0
"038903fa-666f-4e8c-a7b2-37884ad8b64a","M5","GHA","L02","d4TMBLeBJr2",5.1756,5.1756,0,0,0,0,0,0,0
"044f80e7-d605-47be-9f63-76ca160e8534","M1","RWA","L07","zywmeprmCJ6",0.2631,0.2631,1,0,0,0,0,0,0
"04591538-e6dd-40f6-835b-9e978a507d4c","M1","GHA","L03","wtorB9F7hm5",2.9128,2.9128,0,0,0,0,0,0,0
"04591538-e6dd-40f6-835b-9e978a507d4c","M2","GHA","L03","wtorB9F7hm5",1.7557,1.7557,0,0,0,0,0,0,0
"04591538-e6dd-40f6-835b-9e978a507d4c","M3","GHA","L03","wtorB9F7hm5",NA,0,0,0,0,0,0,0,0
"04591538-e6dd-40f6-835b-9e978a507d4c","M4","GHA","L03","wtorB9F7hm5",NA,0,0,0,0,0,0,0,0
"04591538-e6dd-40f6-835b-9e978a507d4c","M5","GHA","L03","wtorB9F7hm5",NA,0,0,0,0,0,0,0,0
"04591538-e6dd-40f6-835b-9e978a507d4c","M6","GHA","L03","wtorB9F7hm5",3.9047,3.9047,0,0,0.5,0,0,1,0
"04591538-e6dd-40f6-835b-9e978a507d4c","M7","GHA","L03","wtorB9F7hm5",NA,0,0,0,0.5,0,0,0.5,0
"04591538-e6dd-40f6-835b-9e978a507d4c","M8","GHA","L03","wtorB9F7hm5",NA,0,0,0,1,0,0,0,0
"05b1f598-f18d-41bc-b666-801fb155af0c","M1","GHA","L05","o1aKSCrDRMB",13.5268,13.5268,0,0,0,0,0,0,0
"05b1f598-f18d-41bc-b666-801fb155af0c","M2","GHA","L05","o1aKSCrDRMB",NA,0,0,0,0,0,0,0,0
"05b1f598-f18d-41bc-b666-801fb155af0c","M3","GHA","L05","o1aKSCrDRMB",0.8475,0.8475,0,0.5,0,0,0,0.5,0
"060a7c6c-0243-4522-a331-544e85405e89","M1","UGA","L07","mjcdtjVVCA6",0.85,0.85,0,0,0,0,0,0,0
"060a7c6c-0243-4522-a331-544e85405e89","M2","UGA","L07","mjcdtjVVCA6",0.95,0.95,0,0,0,0,0,0,0
"060a7c6c-0243-4522-a331-544e85405e89","M3","UGA","L07","mjcdtjVVCA6",0.84,0.84,0,0,0,0,0,0,1
"060a7c6c-0243-4522-a331-544e85405e89","M4","UGA","L07","mjcdtjVVCA6",2.13,2.13,0,0,0,0,0,0,0
"060a7c6c-0243-4522-a331-544e85405e89","M5","UGA","L07","mjcdtjVVCA6",0.64,0.64,0,0,0,0,0,0,0.5
"060a7c6c-0243-4522-a331-544e85405e89","M6","UGA","L07","mjcdtjVVCA6",0.86,0.86,0,0,0,0,0,0,0
"06b61184-043e-48fa-9a07-4f36e72845ce","M1","TZA","L20","ZbDwCBkG2A5",1.4,1.4,0,0,0,0,0,0,0
"06b61184-043e-48fa-9a07-4f36e72845ce","M2","TZA","L20","ZbDwCBkG2A5",1.2,1.2,0,0,0,0,0,0,0
"06b61184-043e-48fa-9a07-4f36e72845ce","M3","TZA","L20","ZbDwCBkG2A5",4.9,4.9,0,0,0,0,0,0,0
"06dc2afb-3e3a-4767-abb9-3f85e41b4039","M1","RWA","L06","XZQvXo5qT34",0.2529,0.2529,1,0,0,0,0,0,0
"06dc2afb-3e3a-4767-abb9-3f85e41b4039","M2","RWA","L06","XZQvXo5qT34",0.1353,0.1353,0.75,0,0,0,0,0,0.25
"07021066-ad90-4243-8381-dd6d3bad0aa9","M1","GHA","L06","nYHDrtr9BkA",NA,0,1,0,0.5,0,0,0.5,0
"07021066-ad90-4243-8381-dd6d3bad0aa9","M2","GHA","L06","nYHDrtr9BkA",NA,0,NA,0,0,0,0,0,0
"07021066-ad90-4243-8381-dd6d3bad0aa9","M3","GHA","L06","nYHDrtr9BkA",NA,0,0,0,0,0,0,0,0
"07021066-ad90-4243-8381-dd6d3bad0aa9","M4","GHA","L06","nYHDrtr9BkA",NA,0,0,0,0,0,NA,NA,0.5
"0726bf27-41fb-4ad8-96e5-d85f89e8144f","M1","TZA","L22","An4VyekaKi6",0.3,0.3,1,0,1,0,0,0,1
"0726bf27-41fb-4ad8-96e5-d85f89e8144f","M2","TZA","L22","An4VyekaKi6",1.2,1.2,0,0,0,0,0,0,0
"072ac946-6e82-4e05-9eb2-1aa3515c3fe6","M1","RWA","L07","MScBRdzkSi4",0.101,0.101,1,0,0,0,NA,0,0
"072ac946-6e82-4e05-9eb2-1aa3515c3fe6","M2","RWA","L07","MScBRdzkSi4",0.2389,0.2389,0.666666666666667,0,0,0,0,0,0
"072ec22e-59f6-4b28-bb02-810169d8501d","M1","UGA","L03","h5hVCQ5GHc2",2.65,2.65,1,0,0,0,0,0,1
"072ec22e-59f6-4b28-bb02-810169d8501d","M2","UGA","L03","h5hVCQ5GHc2",0.34,0.34,NA,0,0,0,0,0,NA
"072ec22e-59f6-4b28-bb02-810169d8501d","M3","UGA","L03","h5hVCQ5GHc2",1.9,1.9,0,0,0,0,0,0,1
