"survey_uuid","Country","Landscape..","Household.ID","Round","median_field_size","Total_Area_Farmed","intercrop_rate","pesticide","herbicide","fungicide","yield_quantile","avg_pct_crops_any_sold","pct_fields_irrigated","pct_fields_inorganic_fert","pct_buy_seed","number_fields","Total_Area_Owned"
"000c9396-d999-45ad-900e-b77ae47ceca9","TZA","L20","zRYovaahru9","1",11.5,11.5,0,0,1,0,4,1,0,0,1,1,NA
"00834288-d9ca-4830-9660-5860e6494839","RWA","L02","U4AbXpgwpoA","1",0.4154,0.4154,0,0,0.25,0,2.33333333333333,1,0,0.5,0.5,2,0.4154
"0096c328-d5d3-4c80-9b87-f96e87f2ab4b","TZA","L10","ZAXs3MY83J","1",1.15,2.3,0.5,1,0,0,1,0,0,0,0,2,2.3
"00a1f24b-dc53-44d3-b76c-8b957ea0274b","UGA","L03","1DKzT4xkSq9","1",1,2,1,0,0.5,0,4,1,0,0,1,2,2
"00cdff25-a513-452f-af4a-7e7109a535ad","UGA","L01","hyWdWQ552X7","1",0.31,0.92,0.333333333333333,0,0,0,2,0,0,0,0,3,0.92
"00e040b8-eed3-4783-affc-bd00fbd045d6","GHA","L01","Xg5bY5Ztxx2","1",4.85,9.7,NA,0,1,0,1,0,0,0.5,0,2,NA
"0194ed8f-e6b6-4068-902d-fd0fd6f71651","RWA","L03","TY6c2BvPeq8","1",0.28475,0.5695,0,0,0,0,1.5,0,0,0,0.5,2,0.5695
"0207b89d-1f9e-4e49-ab52-23cc4e68a3de","TZA","L10","qBummgzDBd8","1",3.2,3.2,1,0,0,0,1,0,0,0,0,1,3.2
"029e99b4-6ea2-46e4-a89d-91d96aff41c4","RWA","L06","NpBRQomLNX3","1",0.20595,0.7883,0.4,0.125,0,0,1.4,0.25,0,0.125,0,4,0.7883
"02ffb259-bc8e-4221-99d2-c250997e0922","TZA","L22","A4HX8ZvF3a8","1",3.3,3.3,0,0,0,0,1,1,0,0,0,1,3.3
"0317d7a0-50ac-4692-ac38-a9015c680c63","RWA","L07","mE3oDzqBqu4","1",0.22435,0.4487,0.666666666666667,0,0,0,3.44444444444444,0.666666666666667,0,0,0.111111111111111,3,0.4487
"031bba75-b554-451c-afa1-a41db7eabdef","UGA","L06","2Zy882qHx74","1",0.4,2.67,0,0,0.714285714285714,0,3.25,0.5,0,0,0,4,2.67
"037248dd-bbfd-4159-8696-524b46520b3c","RWA","L04","jDuNCdZs246","1",0.2173,0.4346,0,0.5,0,0,NA,0.5,0,0.5,1,2,0.4346
"037d10d0-3881-4cfe-b5ea-68a591657516","UGA","L02","ZbpM6thc1b2","1",0.31,0.77,1,0,0,0,1.66666666666667,0,0,0,0,3,0.77
"03821c3f-f3ef-4d99-be85-74a2b72b2b97","RWA","L02","DEfS8gcomk3","1",0.07685,0.1537,0,0,0,0,4,0,0,0,0,2,0.1537
"038903fa-666f-4e8c-a7b2-37884ad8b64a","GHA","L02","d4TMBLeBJr2","1",5.505745,19.09039,0,0,0.8,0,2,0.6,0,0,0.2,5,19.09039
"044f80e7-d605-47be-9f63-76ca160e8534","RWA","L07","zywmeprmCJ6","1",0.2631,0.2631,1,0,0,0,1.75,0,0,0,0,1,0.2631
"04591538-e6dd-40f6-835b-9e978a507d4c","GHA","L03","wtorB9F7hm5","1",2.9128,8.5732,0,0,0.2,0,2.14285714285714,0.571428571428571,0,0.2,0,8,8.5732
"05b1f598-f18d-41bc-b666-801fb155af0c","GHA","L05","o1aKSCrDRMB","1",7.18715,14.3743,0,0.166666666666667,0,0,2.16666666666667,1,0,0.166666666666667,0,3,14.3743
"060a7c6c-0243-4522-a331-544e85405e89","UGA","L07","mjcdtjVVCA6","1",0.855,6.27,0,0,0,0,2.11111111111111,0.222222222222222,0,0,0.222222222222222,6,6.27
"06b61184-043e-48fa-9a07-4f36e72845ce","TZA","L20","ZbDwCBkG2A5","1",1.4,7.5,0,0,0,0,3,0.333333333333333,0,0,0,3,6.1
"06dc2afb-3e3a-4767-abb9-3f85e41b4039","RWA","L06","XZQvXo5qT34","1",0.1941,0.3882,0.875,0,0,0,2.75,0,0,0,0.125,2,0.3882
"07021066-ad90-4243-8381-dd6d3bad0aa9","GHA","L06","nYHDrtr9BkA","1",NA,0,0.25,0,0.125,0,2,0.5,0,0.25,0.2,4,NA
"0726bf27-41fb-4ad8-96e5-d85f89e8144f","TZA","L22","An4VyekaKi6","1",0.75,1.5,0.666666666666667,0,0.666666666666667,0,3,0.333333333333333,0,0,0.666666666666667,2,1.5
"072ac946-6e82-4e05-9eb2-1aa3515c3fe6","RWA","L07","MScBRdzkSi4","1",0.16995,0.3399,0.8,0,0,0,1.33333333333333,0,0,0,0,2,0.3399
"072ec22e-59f6-4b28-bb02-810169d8501d","UGA","L03","h5hVCQ5GHc2","1",1.9,4.89,0.666666666666667,0,0,0,3,1,0,0,1,3,4.89
"07a54e2c-e9d8-4167-82c2-7ce434ca75c2","TZA","L18","ZSL3mumZ4X8","1",4.55,9.1,1,0,1,0,3.25,1,1,1,0,2,9.1
"07c3b205-0358-4051-83dc-a5730b04e1d1","RWA","L06","R5nJaf2Sop9","1",0.2718,0.2718,0,0,0,0,2.66666666666667,0.5,0,0,0.25,2,0.2718
"07d753f9-35fb-4c46-8469-f4d7acc4ebc7","RWA","L03","5s4t5icCN2","1",3.4328,8.5583,0,0,0,0,1,1,0,0,0.25,4,8.5583
"07fc098f-2a4a-42d8-802d-533fe7269a2c","GHA","L02","HK4BRArXjD6","1",7.6783,15.3566,0,0,0.5,0,3.5,0.5,0,0.166666666666667,0,6,15.3566
"08243e9f-5c14-4a42-8516-8b435730a0d7","RWA","L04","M8qxpz4tTs2","1",0.0877,0.0877,0,0,0,0,2.875,0,0,0,0,3,0.0877
"084170c0-2868-44cd-b1b9-0f0e7b79759a","RWA","L04","xcxoHDFasQA","1",0.1721,0.1721,0,0.5,0,0,3.33333333333333,0,0,0.5,1,1,0.1721
"08ec3846-69ed-404c-ad1d-276531fd9243","UGA","L06","f52oa28ri63","1",0.88,3.49,0,0.25,0,0,4,0.5,0,0,0.666666666666667,3,NA
"0942e4d3-cec5-487a-9984-33833ae003ca","GHA","L06","E3EGXT3BJS5","1",0.8,0.8,1,0,0.75,0,1,1,0,0,0,2,NA
"0972f007-16e6-402c-9c03-e09644dff0a5","GHA","L02","oJSmP1FYvbB","1",10.022,10.022,0,0,1,0,1,1,0,1,0,1,NA
"09eb1ea8-1371-4ca4-9720-4b92992b696c","GHA","L05","6o1LRkbmmy9","1",8.0594,8.0594,0,0.0833333333333333,0.0833333333333333,0,1.1,0.666666666666667,0,0.0833333333333333,0,6,8.0594
"0a93fc30-9228-4323-b69f-7ff79fda2cef","GHA","L05","LFwa12jnrL2","1",5.8373,5.8373,0,0,0,0,3.5,1,0,0,0,4,5.8373
"0af3759b-7c3b-4d82-8efb-fcb57e29474a","GHA","L03","TfTiB3qRvU2","1",2.332,11.0808,0,0,1,0,3.83333333333333,1,0,1,0,3,NA
"0b4ba387-4aac-4dd6-9e67-939a54202e75","GHA","L02","cSN6zpcALp9","1",5.1766,14.3658,0,0,1,0,3.33333333333333,1,0,0.666666666666667,0.333333333333333,3,14.3658
"0b8f1d81-a238-404a-9ce9-bf0e93e9cca3","RWA","L04","seXpFZmj3a","1",0.0771,0.5938,0,0.125,0,0,1.83333333333333,0.2,0,0,0.125,5,0.5938
