"Household.ID","Country","Landscape..","Crops","Permanent.Crops","Livestock.Byproducts","Livestock","Crop.Byproducts","total"
"13sx7zZ45L7","GHA","L01",676,0,12,213.680555555556,0,901.680555555556
"17tw28pAwD3","TZA","L11",1103000,0,24000,49642.8571428571,0,1176642.85714286
"1aHi48GS6A5","RWA","L03",18500,2000,5000,0,1000,26500
"1AHvfwxYcT6","TZA","L20",2196000,0,32500,138603.968253968,0,2367103.96825397
"1DKzT4xkSq9","UGA","L03",137000,726000,0,0,0,863000
"1m6QKguDbp4","RWA","L03",10000,210000,24000,120000,152000,516000
"1Mcd53U8Qb4","UGA","L02",504000,1627500,53900,4e+05,5400,2590800
"1tDK7dEA7q4","RWA","L07",41500,5200,2480,0,2500,51680
"1YCu7s1wQ37","UGA","L02",306000,387500,20000,0,0,713500
"1YyZC8Zyxy7","GHA","L03",136,0,10,28.6,0,174.6
"25LYWDpsci5","UGA","L07",208000,15000,9000,50666.6666666667,10000,292666.666666667
"29hZgxCQpf4","RWA","L03",102000,25500,25000,0,15000,167500
"2AzeKX3Xdj9","RWA","L01",423460,45000,234000,290000,6000,998460
"2GJh9RvP6U3","TZA","L10",324000,10000,7800,0,0,341800
"2JxppdNdy1B","TZA","L11",201000,0,9000,19857.1428571429,0,229857.142857143
"2Q7MnSV2oJ5","GHA","L06",2117.8,2320,192,1051.71029816885,0,5681.51029816885
"2tfKupRSSR9","RWA","L03",313000,900,40000,0,190000,543900
"2tg6ar7zuS5","TZA","L22",540000,0,27000,32069.5970695971,0,599069.597069597
"2TsiWCE9wU3","UGA","L02",12000,940000,715000,1550000,0,3217000
"2tw7sF6jPB4","TZA","L11",488000,90000,0,0,0,578000
"2w6GUTeKDd","GHA","L03",5930,0,0,0,0,5930
"2zFRVcySNg6","TZA","L18",363100,0,0,268444.444444444,0,631544.444444444
"2Zy882qHx74","UGA","L06",1131000,48000,48000,222777.777777778,248000,1697777.77777778
"3262VdP66d2","GHA","L06",-220,15090,0,43.375,3613.2,18526.575
"3aT11RTk4H8","RWA","L07",244000,25000,1000,20000,0,290000
"3bdaYKw2CU5","TZA","L11",2586000,0,30000,139285.714285714,0,2755285.71428571
