"survey_uuid","Landscape..","Eplot..","latitude","longitude","Country","biodiversity","eplot_code"
"005361ef-5b31-49f6-b731-c5414030c42e","000","308",6.04029,-0.01069,"GHA",0.925643047292461,"GHA-000-308"
"00724f74-fc2f-43c0-95ba-0f3309a83bc8","000","122",-2.18553,30.22699,"RWA",0,"RWA-000-122"
"0099da57-f9d9-4e4d-9880-a4a104522c33","000","237",9.96791,-0.81209,"GHA",0,"GHA-000-237"
"00eb2d48-9015-4fae-800e-0039fad8135f","L04","003",-1.76382,29.36673,"RWA",0,"RWA-L04-003"
"00ed76fd-622c-4e99-969d-e960312a9da6","000","024",-1.5464,29.35619,"RWA",0.140176909065255,"RWA-000-024"
"00f99986-4431-4733-8eb0-ac5b6c2be17f","000","180",-9.1681,32.71605,"TZA",0,"TZA-000-180"
"012aa924-9a9e-4115-951e-a2d56a3ef882","L19","006",-8.05512,36.50336,"TZA",2.6094064781239,"TZA-L19-006"
"0156ccaa-f360-447f-955c-09f52ff6125b","L02","006",9.88517,-0.88339,"GHA",0.0540654800836757,"GHA-L02-006"
"017b67cc-277e-45ea-ab17-ac870ec701cd","000","088",-1.75527,29.63042,"RWA",0,"RWA-000-088"
"01b20d7d-5cdc-4cc7-a909-e60aba0596cd","000","329",-9.64025,34.40332,"TZA",0.566882979796906,"TZA-000-329"
"020bb2ff-1a1f-4c1d-830c-b365cadadc08","000","055",6.82712,0.48342,"GHA",2.22114936767279,"GHA-000-055"
"02230e4e-1d05-4a4f-bde1-ada2009e23b8","L03","007",7.75356,-0.87797,"GHA",1.34654056304136,"GHA-L03-007"
"022a4f5a-9ac5-48b5-a82e-ba588f9b678f","000","368",-7.6841,36.21299,"TZA",2.22958964689638,"TZA-000-368"
"02bc7faf-4b4b-454e-be72-44619b6397c8","L05","011",5.08362,-2.56011,"GHA",0,"GHA-L05-011"
"02f81f54-3c07-4e1c-8c7e-f94288fe2523","L20","006",-8.61466,34.27496,"TZA",0.667107095245556,"TZA-L20-006"
"032ad36e-7698-483b-ae8a-f4560d2ab02e","L03","006",7.71288,-0.88756,"GHA",0.37568577186349,"GHA-L03-006"
"036182d8-d1a0-4196-a553-cbad1af2ccf3","000","048",-8.05913,38.68941,"TZA",2.81972559096566,"TZA-000-048"
"03714f10-4662-4846-b742-6d80cb82eb78","000","101",-1.64123,30.1596,"RWA",0,"RWA-000-101"
"03a9da80-4d50-4bfa-9ca1-de24f274f29b","L02","011",1.00266,34.37387,"UGA",0.611436734826707,"UGA-L02-011"
"03aad0aa-dbaf-4bb4-a2f1-0cb80930aa27","000","042",-9.82472,34.54587,"TZA",0.771089669979396,"TZA-000-042"
"03ae2f56-6881-47fc-97a9-c2ec1983248a","000","399",8.41337,0.45124,"GHA",1.43638383871718,"GHA-000-399"
"0442ef27-35b7-45ba-b099-abb8a1611e5b","000","054",5.73161,-0.91561,"GHA",1.15212976620181,"GHA-000-054"
"046b8971-162d-4b59-aedb-b1021a0c1c05","000","292",-8.22279,32.80155,"TZA",1.878622441428,"TZA-000-292"
"0476dd49-5925-4a60-bea0-91fe6c8c65c8","000","330",-7.97793,35.21731,"TZA",1.8250533754489,"TZA-000-330"
