"Country","Landscape","Eplot","latitude","longitude","survey_uuid","flag","biodiversity","Canopy","Rooted_Plants","Litter_Cover","Downed_Wood","Stone_or_Gravel","Dung","Disturbed_Soil","Undisturbed_Bare___Porous_Soil","Undisturbed_but_Sealed_Soil","Sodic_Soil","Microfloral_Crust","Termite_Mound","Herbaceous_Crown_Cover_Score","Soil_Erosion_Score","C","N","P","K","pH"
"GHA","000","001",5.04071,-2.09631,"df5d3301-4f54-4a02-97b7-434efc81b10a","",0,52.45,6.2,2.6,1.2,0,0,0,0,0,0,0,0,6.6,0,0.075367602,1.123755881,50.56,8582.1865125,5.1758858335
"GHA","000","002",8.39651,-0.01122,"9e4e0614-7b16-4898-b1ae-6044584db625","",0.823578424580979,10.25,6.4,1.6,1,0.4,0,0,0,0,0,0.6,0,7.4,0.2,NA,NA,NA,NA,NA
"GHA","000","003",9.17299,-1.10358,"74898ca3-16b1-45a1-a54e-0067d28445bf","",0.595475644017627,8.1,6.6,2.8,0.6,0,0,0,0,0,0,0,0,7,0,0.05154769425,0.703578172,50.9667710825,10861.9040495,7.24304191675
"GHA","000","007",5.50727,-0.48982,"c05f453a-d83c-44b1-ba3e-88cf041a340a","",NA,0,3,2.6,2.2,1,0,1.2,0,0,0,0,0,2.8,1.2,0.069612676,0.910133313,50.56,9219.700197,6.776546667
"GHA","000","011",5.83285,0.22273,"9ca34ff6-5803-4f0e-b4c2-9a987204be5f","",0,2.3,6.2,0.6,0,0.2,0,1.8,0.2,1,0,0,0,6.4,0.6,NA,NA,NA,NA,NA
"GHA","000","012",5.71715,0.41105,"4af36944-9762-4aeb-b395-e923c899f3f3","GPS NEpoint not within country boundary; GPS NWpoint not within country boundary; ",0,1.95,6,0.8,0.6,0,0,2.6,0,0,0,0,0,5.6,1,NA,NA,NA,NA,NA
"GHA","000","015",8.81727,-0.49181,"dbd6b6cf-4f5b-42bb-9a48-e4dbd295c4d7","",1.74488258437572,24.95,3.2,1.8,1.2,2.2,1.4,0,0,0,0,0.2,0,3.6,0.2,NA,NA,NA,NA,NA
"GHA","000","016",5.9923,0.21356,"a8d6b42e-4b1f-4a71-9713-62447fb595fc","",0.158037557167668,0,4.2,1.2,0.2,0,3,0.8,0,0.6,0,0,0,4,0,NA,NA,NA,NA,NA
"GHA","000","022",5.37606,-0.65856,"f8aa80fc-0506-4c1f-a543-52e7061eaea8","",0,20.1,2.8,2.4,1.8,0.4,0,0.8,1,0.4,0,0.4,0,4.2,0,0.0652611,0.796420408,55.031478435,10794.8095115,7.007325
"GHA","000","029",9.07847,-0.84269,"0bff4730-8a5f-4660-9102-df85fc0753cf","",0.0485203026391962,8.8,0.2,3.8,6,0,0,0,0,0,0,0,0,0.2,0,0.0383354065,0.592501363,50.56,7730.0822145,6.6572106665
"GHA","000","034",8.55455,-0.55269,"394009fc-9dcf-449a-a153-cd36ce40a9b8","",0.802864839270759,6.55,6.4,1.8,1.2,0.4,0,0,0,0,0,0.2,0,6.4,0.6,NA,NA,NA,NA,NA
"GHA","000","036",8.70534,-0.51222,"41cf092c-f50d-4a54-a514-0ceb79576b07","",1.56377066669427,17.2,5,1.6,1.4,0.4,0,0,1.2,0,0,0.4,0,4.8,0,NA,NA,NA,NA,NA
"GHA","000","037",5.85393,0.27264,"d49b101f-3ccf-457c-aabe-93763e322873","",0,0,5.4,0.6,0.6,0,0,3.4,0,0,0,0,0,5.6,1,NA,NA,NA,NA,NA
"GHA","000","041",8.8008,-0.60569,"3e682743-e341-41f4-b07b-d8559d235ae6","",2.22700175690394,20.35,5.8,2,1.8,0.4,0,0,0,0,0,0,0,6,0,NA,NA,NA,NA,NA
"GHA","000","043",8.54591,-0.5455,"717b11d9-5923-4b0f-8af1-5346aaa840ef","",0.580359081272797,2.5,4.8,1.4,1,2,0.4,0.4,0,0,0,0,0,4.4,0.4,NA,NA,NA,NA,NA
"GHA","000","044",10.07057,-0.81467,"fa61209e-95c1-44a8-827f-8f5669f7c230","",NA,0.05,6.6,3,0.4,0,0,0,0,0,0,0,0,8.2,0,0.034425148,0.49872304975,54.0264547725,11467.72416675,6.90349725
"GHA","000","045",6.00024,0.20907,"75d461d1-799d-4d4f-996e-2eb56f1d7626","",NA,0,4.6,0.6,0,0,2.4,1.6,0,0.8,0,0,0,4.2,0.2,NA,NA,NA,NA,NA
"GHA","000","047",7.47913,0.38707,"7ddff401-b0e4-420f-a501-cba127cc52d4","",0.601651752726033,46.4,6.4,2.2,1.2,0.2,0,0,0,0,0,0,0,8.4,0,NA,NA,NA,NA,NA
