"Country","Landscape","Household_ID","Round","size","literate","years","age"
"GHA","L01","13sx7zZ45L7","1",8,0.625,5.375,24.5
"GHA","L01","5xb8kqgFVh9","1",7,0.428571428571429,3.42857142857143,28.4285714285714
"GHA","L01","87qeDKg8sj5","1",5,0,0,16.2
"GHA","L01","aEPhhDYMsKA","1",9,0.444444444444444,2.22222222222222,16.1111111111111
"GHA","L01","bnNcJ3bknL7","1",5,0.2,2.4,26.2
"GHA","L01","dQNLmp8vbx7","1",6,0,1,18.5
"GHA","L01","dVULAjf4W89","1",1,0,2,65
"GHA","L01","e4zTqWoHTi","1",3,0.666666666666667,6,33.3333333333333
"GHA","L01","EAdeyuGhu85","1",7,0.428571428571429,6.28571428571429,21
"GHA","L01","EmjTzkKPcK4","1",12,0.583333333333333,1.5,21.6666666666667
"GHA","L01","FcfWcnPR1A6","1",4,0.25,0.5,13.75
"GHA","L01","GEgBv7HAf68","1",10,0.1,2,23.4
"GHA","L01","hy4613HYBr3","1",7,0.571428571428571,4.71428571428571,27
"GHA","L01","jR5EnTkAqM3","1",5,0,0,17.2
"GHA","L01","k8zEL6BmKHB","1",7,0.285714285714286,1.14285714285714,23.4285714285714
"GHA","L01","KSchTBWs2p7","1",14,0.214285714285714,4.28571428571429,33.2857142857143
"GHA","L01","n3hCRp3nTfB","1",3,0.333333333333333,6.66666666666667,59.6666666666667
"GHA","L01","njfYPSwX6c8","1",4,0,2.5,32.5
"GHA","L01","PXb5NT8y8n6","1",8,0.25,3,28.5
"GHA","L01","qG2u89ePnM3","1",5,0.4,2,21
"GHA","L01","qqEgat4rGk9","1",4,0.75,7.5,45.75
"GHA","L01","qy7poFPTo22","1",5,0.8,5.4,31.4
"GHA","L01","rvasPDxnwj3","1",6,0.666666666666667,8.33333333333333,31
"GHA","L01","UDYnaavH8U3","1",3,0.333333333333333,1.33333333333333,26.3333333333333
"GHA","L01","V42v2Qoi8j3","1",11,0,0,26.2727272727273
"GHA","L01","vz6UQ8NGgEA","1",10,0,0,21.3
"GHA","L01","Xg5bY5Ztxx2","1",12,0.5,4.91666666666667,29.25
"GHA","L01","ZgVCya2zX73","1",5,0.2,4.6,17.8
"GHA","L01","ZsXLTqgEPA2","1",5,0.2,5,34
"GHA","L02","aC1Yp9Vbbb9","1",11,0.0909090909090909,0.818181818181818,20.4545454545455
"GHA","L02","ArjKWQXjiQ2","1",4,0.25,4.25,16.75
"GHA","L02","arUegScQDF9","1",12,0.0833333333333333,0.75,23.9166666666667
"GHA","L02","BNLAgvK3aCA","1",13,0.538461538461538,2.15384615384615,20.4615384615385
"GHA","L02","cSN6zpcALp9","1",6,0.333333333333333,2.33333333333333,16
"GHA","L02","d4TMBLeBJr2","1",7,0.285714285714286,3,20.4285714285714
"GHA","L02","fkisAfkhBS2","1",8,0.375,7.75,32.5
"GHA","L02","gEi4dQZTGjA","1",9,0.222222222222222,0.75,17.7777777777778
"GHA","L02","GLaBCfmRHT9","1",8,0.625,5.75,29.125
"GHA","L02","go6Ch5Km3k7","1",9,0.555555555555556,3.55555555555556,23.3333333333333
"GHA","L02","h9yzMoqrEr7","1",3,0,0,45
"GHA","L02","HK4BRArXjD6","1",12,0.166666666666667,1,17
"GHA","L02","LcDR4MVNrw","1",3,0,0,17.3333333333333
"GHA","L02","MdadqCNEiL","1",8,0.5,3,25.875
"GHA","L02","MFMymqGXjf8","1",5,0.4,4,14.2
"GHA","L02","Ny58V5eghz7","1",9,0.222222222222222,2,25.6666666666667
"GHA","L02","NZwEq9cA5VB","1",20,0.35,2.2,35.25
"GHA","L02","oJSmP1FYvbB","1",4,0,0,14.25
"GHA","L02","pEa2FhYEyQ2","1",6,0.333333333333333,3.33333333333333,18.8333333333333
"GHA","L02","RkxgfouGkY6","1",18,0.333333333333333,1.76923076923077,20.3333333333333
"GHA","L02","SAvMdkgq8K4","1",3,0.666666666666667,9,16.6666666666667
"GHA","L02","sSK4YGpVFE3","1",12,0.166666666666667,1.5,21.8333333333333
"GHA","L02","tcEkwscfpH4","1",6,0.166666666666667,1.5,29.8333333333333
"GHA","L02","tKy51hwqVM2","1",3,0.666666666666667,5.33333333333333,20
"GHA","L02","UUj4sWMqYC3","1",7,0.285714285714286,4,14.4285714285714
"GHA","L02","vyxUdnM5dv5","1",6,0.5,6.33333333333333,14.1666666666667
"GHA","L02","Wth4nHzDVc8","1",4,0,0,16.25
"GHA","L02","XiQuiDjntD2","1",8,0,0.875,20.5
"GHA","L02","XqoC5saQNR5","1",5,0,0,19
"GHA","L03","1YyZC8Zyxy7","1",1,0,0,75
"GHA","L03","2w6GUTeKDd","1",6,0.5,7.16666666666667,21.1666666666667
"GHA","L03","3oYDbENAuo","1",2,0.5,6,47.5
"GHA","L03","56esinYPtWB","1",6,0.166666666666667,2,21.8333333333333
"GHA","L03","5G241XCT6VA","1",3,0,0.333333333333333,21.6666666666667
"GHA","L03","5JcGGbr2Y88","1",6,0.166666666666667,2,13.1666666666667
"GHA","L03","5o639Qfu5Q8","1",1,0,0,61
"GHA","L03","bvFDUPT6cv8","1",1,0,0,45
"GHA","L03","C7yu9JZpZ96","1",5,0,0,16.4
"GHA","L03","dWWPvz9La34","1",2,0,3.5,42.5
"GHA","L03","eaQik5x8C35","1",4,0.75,5.25,30.75
"GHA","L03","f4fJfgvzWm3","1",5,0.2,3.6,18.8
"GHA","L03","GDXUCUdQZB6","1",5,0,2.4,34.6
"GHA","L03","GPMVX5tyrx4","1",5,0.4,7,30
"GHA","L03","HYK4pqongQ7","1",6,0.5,2.66666666666667,36
"GHA","L03","ignYVcEWdh6","1",6,0.5,4.33333333333333,19.1666666666667
"GHA","L03","K5Z7A224KK7","1",6,0.833333333333333,5.5,21.5
"GHA","L03","kLYaJ3DYGC7","1",3,0.333333333333333,5.33333333333333,33
"GHA","L03","Kte7LVWAkq7","1",2,0.5,6.5,50
"GHA","L03","nLAqDVxLW42","1",9,0.333333333333333,3.88888888888889,18.6666666666667
"GHA","L03","oGAiiS5KTH6","1",2,1,13.5,45.5
"GHA","L03","phfDZ3p9QE5","1",2,0,3,47
"GHA","L03","qaB9PRByhQ7","1",6,0.666666666666667,6.5,22.1666666666667
"GHA","L03","TfTiB3qRvU2","1",4,0.5,5.5,21.25
"GHA","L03","UmXMMFYwnL4","1",5,0.6,5,25
"GHA","L03","UNJbgF8rDE4","1",4,0,1.75,15.5
"GHA","L03","w5r45534D96","1",2,0.5,0,82
"GHA","L03","wtorB9F7hm5","1",14,0.428571428571429,3.14285714285714,17
"GHA","L03","ymaHgFS7sD7","1",2,1,7,38
"GHA","L03","YqAFB2BMNLB","1",1,1,13,38
"GHA","L04","5rf37agRoT5","1",7,0.285714285714286,3,12.7142857142857
"GHA","L04","7PXpD9kuLR3","1",5,0.8,8.4,29
"GHA","L04","9M4qT2DMJj","1",5,0.8,7,41.8
"GHA","L04","AKMWbrcHqo7","1",4,0.25,3.75,33
"GHA","L04","AZbZLMWXXU5","1",10,0.9,7.3,22.1
"GHA","L04","cC52Z4XDyF4","1",8,0.75,6.625,18.75
"GHA","L04","CxMdVRz4Fo","1",9,0.666666666666667,4.66666666666667,17.2222222222222
"GHA","L04","dfyqb4HLxn8","1",7,0.857142857142857,9.42857142857143,24.1428571428571
"GHA","L04","dSafpBy1bV9","1",3,0.333333333333333,6,23.3333333333333
"GHA","L04","ev9j4bGtBTB","1",8,0.125,3.125,14.25
"GHA","L04","eze6AQDVxQ4","1",6,0.833333333333333,8,35.5
"GHA","L04","HJ9K9FonFCA","1",8,0.875,9.875,26.625
"GHA","L04","LMzw8JsSze","1",6,0.5,7.5,24
"GHA","L04","NqtNJxp3qaB","1",1,0,11,43
"GHA","L04","P6yZhzEGVc6","1",1,0,13,52
"GHA","L04","qAcLcu8zBx5","1",7,0.571428571428571,5.66666666666667,20.7142857142857
"GHA","L04","qie8QYVB3s6","1",4,0.5,7.75,39.75
"GHA","L04","rzTsdWdr6y3","1",3,0.666666666666667,4.66666666666667,40.3333333333333
"GHA","L04","tsyzA3E2k36","1",2,0,5.5,71
"GHA","L04","v5AnXEEYcG3","1",2,1,12,54.5
"GHA","L04","vVmon4etMR7","1",3,0,4.33333333333333,35.6666666666667
