"Country","Landscape","Household_ID","Round","Total_Income","AgIncome","NonAgIncome","AgInvestments"
"GHA","L01","13sx7zZ45L7","1",3700,100,3600,164
"TZA","L11","17tw28pAwD3","1",4510000,860000,3650000,272000
"RWA","L03","1aHi48GS6A5","1",0,0,0,0
"TZA","L20","1AHvfwxYcT6","1",350000,350000,0,89000
"UGA","L03","1DKzT4xkSq9","1",1296142.9,514000,782142.9,43000
"RWA","L03","1m6QKguDbp4","1",530000,165000,365000,0
"UGA","L02","1Mcd53U8Qb4","1",5451000,2166000,3285000,126000
"RWA","L07","1tDK7dEA7q4","1",255500,0,255500,0
"TZA","L18","1U2KYPp4RE4","1",114000,114000,0,0
"UGA","L02","1YCu7s1wQ37","1",2427500,420000,2007500,179000
"GHA","L03","1YyZC8Zyxy7","1",180,180,0,44
"UGA","L07","25LYWDpsci5","1",1866000,66000,1800000,60000
"RWA","L03","29hZgxCQpf4","1",111000,111000,0,0
"RWA","L01","2AzeKX3Xdj9","1",523428.6,2000,521428.6,7450
"RWA","L01","2AzeKX3Xdj9","2",1332857.2,290000,1042857.2,16940
"TZA","L10","2GJh9RvP6U3","1",47800,47800,0,4000
"TZA","L11","2JxppdNdy1B","1",63000,63000,0,55000
"GHA","L06","2Q7MnSV2oJ5","1",8373.8573,5506,2867.8573,92.2
"RWA","L03","2tfKupRSSR9","1",104285.72,0,104285.72,2000
"TZA","L22","2tg6ar7zuS5","1",0,0,0,0
"UGA","L02","2TsiWCE9wU3","1",3180714.3,2800000,380714.3,8000
"TZA","L11","2tw7sF6jPB4","1",120000,120000,0,75000
"GHA","L03","2w6GUTeKDd","1",4810,4810,0,690
"TZA","L18","2zFRVcySNg6","1",6605000,4e+05,6205000,76900
"UGA","L06","2Zy882qHx74","1",622000,622000,0,44000
"GHA","L06","3262VdP66d2","1",6710.7145,2800,3910.7145,220
"RWA","L07","3aT11RTk4H8","1",427714.3,167000,260714.3,3900
"TZA","L11","3bdaYKw2CU5","1",2338000,2338000,0,41000
"UGA","L03","3BWtidtw1gB","1",90000,90000,0,37000
"UGA","L02","3csKwZMd8vA","1",2205000,380000,1825000,136800
"UGA","L03","3eWkuw2PPtA","1",558571.44,350000,208571.44,0
"UGA","L03","3f7GFEXbaK","1",1206000,6000,1200000,0
"RWA","L06","3hzQ4hJNWpA","1",4692857.4,0,4692857.4,0
"RWA","L06","3hzQ4hJNWpA","2",1350000,1350000,0,5000
"GHA","L03","3oYDbENAuo","1",30,30,0,268
"UGA","L01","3WbmqA7gbk2","1",4500000,0,4500000,35000
"TZA","L03","41YTq8opiW8","1",536000,536000,0,104000
"UGA","L03","43ozar7mLV6","1",509200,509200,0,24000
"UGA","L06","43RqATksCs8","1",720000,720000,0,362500
"RWA","L02","4aupp5Gqjv6","1",1162285.74,437500,724785.74,101950
"GHA","L05","4DD1mGbS2b6","1",8880,8880,0,0
"TZA","L19","4FP6ukTTsQ8","1",4380000,0,4380000,0
"UGA","L02","4GxE5frHnQ4","1",150000,150000,0,0
"TZA","L19","4LtjetWmyU6","1",68000,68000,0,0
"UGA","L06","4Ltk7eBsFy2","1",337500,337500,0,20000
"UGA","L03","4mjZfGs3Aw","1",3676000,316000,3360000,0
"UGA","L04","4MTsyUHiaX4","1",0,0,0,21800
"TZA","L22","4NfJeixyr6A","1",782142.9,0,782142.9,0
"GHA","L06","4TD5PFFKHJ7","1",20345,20345,0,1690
"GHA","L06","4TD5PFFKHJ7","1",20345,20345,0,1690
"RWA","L01","4uYtGb6q1h5","1",377500,122000,255500,20900
