"Country","Landscape","percent_degraded","percent_improved","NR_Total","AG_Total"
"RWA","L01",44.9375,1.0625,56.55042413,43.44957587
"RWA","L02",41.625,8.5625,43.05054152,56.94945848
"RWA","L03",10.6875,33,26.15239887,68.01505174
"RWA","L04",3.9375,37.625,8.69140625,91.30859375
"RWA","L06",2.6875,14.125,6.654343808,93.34565619
"RWA","L07",16.0975609756098,14.9390243902439,2.24609375,97.75390625
"TZA","L02",99.4375,0.25,20.39106145,79.60893855
"TZA","L10",23.8125,3.0625,66.19850187,33.80149813
"TZA","L11",18.0128205128205,4.48717948717949,89.23512748,10.76487252
"TZA","L19",80.5,0.5625,34.52115813,65.47884187
"TZA","L20",83.875,1.3125,55.89519651,44.10480349
"TZA","L22",36.125,2.0625,76.08695652,23.91304348
"UGA","L01",100,0,45.28819762,54.71180238
"UGA","L02",97.9375,0.0625,2.178030303,97.8219697
"UGA","L03",100,0,25.99814299,74.00185701
"UGA","L04",38.0625,0.875,21.44177449,77.17190388
"UGA","L06",100,0,31.18081181,68.81918819
"UGA","L07",96.9375,0,29.92424242,70.07575758
