"Country","Landscape","Household_ID","Round","bundles","cost","total_fuelwood_value","hh_annual_nonfuel_nr_value","Nonfuel_NR_decreasing","Rate"
"GHA","L01","13sx7zZ45L7","1",72,3,49.6780128794848,20.6991720331187,1,4.348
"GHA","L01","5xb8kqgFVh9","1",416,3,287.028518859246,96.5961361545538,0,4.348
"GHA","L01","87qeDKg8sj5","1",156,3,107.635694572217,0,NA,4.348
"GHA","L01","aEPhhDYMsKA","1",208,3,143.514259429623,96.5961361545538,0.5,4.348
"GHA","L01","bnNcJ3bknL7","1",260,3,179.392824287029,0,NA,4.348
"GHA","L01","dQNLmp8vbx7","1",104,3,71.7571297148114,13.7994480220791,1,4.348
"GHA","L01","dVULAjf4W89","1",104,3,71.7571297148114,41.3983440662373,NA,4.348
"GHA","L01","e4zTqWoHTi","1",52,3,35.8785648574057,0,1,4.348
"GHA","L01","EAdeyuGhu85","1",NA,NA,NA,0,NA,4.348
"GHA","L01","EmjTzkKPcK4","1",520,3,358.785648574057,0,NA,4.348
"GHA","L01","FcfWcnPR1A6","1",260,3,179.392824287029,41.3983440662373,1,4.348
"GHA","L01","GEgBv7HAf68","1",208,3,143.514259429623,9.65961361545538,1,4.348
"GHA","L01","hy4613HYBr3","1",440,3,303.587856485741,41.3983440662373,1,4.348
"GHA","L01","jR5EnTkAqM3","1",104,3,71.7571297148114,0,1,4.348
"GHA","L01","k8zEL6BmKHB","1",312,3,215.271389144434,0,NA,4.348
"GHA","L01","KSchTBWs2p7","1",104,3,71.7571297148114,1.37994480220791,1,4.348
"GHA","L01","n3hCRp3nTfB","1",208,3,143.514259429623,0,NA,4.348
"GHA","L01","njfYPSwX6c8","1",312,3,215.271389144434,22.9990800367985,1,4.348
"GHA","L01","PXb5NT8y8n6","1",52,3,35.8785648574057,2.75988960441582,1,4.348
"GHA","L01","qG2u89ePnM3","1",208,3,143.514259429623,0,1,4.348
"GHA","L01","qqEgat4rGk9","1",312,3,215.271389144434,1.37994480220791,1,4.348
"GHA","L01","qy7poFPTo22","1",156,3,107.635694572217,59.7976080956762,1,4.348
"GHA","L01","rvasPDxnwj3","1",780,3,538.178472861086,0,NA,4.348
"GHA","L01","UDYnaavH8U3","1",312,3,215.271389144434,41.3983440662373,1,4.348
"GHA","L01","V42v2Qoi8j3","1",312,3,215.271389144434,25.2989880404784,1,4.348
"GHA","L01","vz6UQ8NGgEA","1",312,3,215.271389144434,0,1,4.348
"GHA","L01","Xg5bY5Ztxx2","1",676,3,466.421343146274,36.7985280588776,NA,4.348
"GHA","L01","ZgVCya2zX73","1",156,3,107.635694572217,2.29990800367985,1,4.348
"GHA","L01","ZsXLTqgEPA2","1",104,3,71.7571297148114,21.8491260349586,0.333333333333333,4.348
"GHA","L02","aC1Yp9Vbbb9","1",364,3,251.14995400184,101.195952161914,0.6,4.348
"GHA","L02","ArjKWQXjiQ2","1",104,3,71.7571297148114,16.5593376264949,1,4.348
"GHA","L02","arUegScQDF9","1",2,3,1.37994480220791,0,NA,4.348
"GHA","L02","BNLAgvK3aCA","1",312,3,215.271389144434,22.9990800367985,1,4.348
"GHA","L02","cSN6zpcALp9","1",NA,NA,NA,0,NA,4.348
"GHA","L02","d4TMBLeBJr2","1",NA,NA,NA,0,NA,4.348
"GHA","L02","fkisAfkhBS2","1",5,3,3.44986200551978,1195.95216191352,1,4.348
"GHA","L02","gEi4dQZTGjA","1",6,3,4.13983440662374,0,NA,4.348
"GHA","L02","GLaBCfmRHT9","1",312,3,215.271389144434,11.0395584176633,1,4.348
"GHA","L02","go6Ch5Km3k7","1",364,3,251.14995400184,101.195952161914,0.5,4.348
"GHA","L02","h9yzMoqrEr7","1",104,3,71.7571297148114,9.19963201471941,1,4.348
"GHA","L02","HK4BRArXjD6","1",4,3,2.75988960441582,0,NA,4.348
"GHA","L02","LcDR4MVNrw","1",104,3,71.7571297148114,97.5160993560258,1,4.348
"GHA","L02","MdadqCNEiL","1",208,3,143.514259429623,18.1692732290708,0.5,4.348
"GHA","L02","MFMymqGXjf8","1",156,3,107.635694572217,110.395584176633,0.75,4.348
"GHA","L02","Ny58V5eghz7","1",51,3,35.1885924563017,0,NA,4.348
"GHA","L02","NZwEq9cA5VB","1",884,3,609.935602575897,110.395584176633,1,4.348
"GHA","L02","oJSmP1FYvbB","1",104,3,71.7571297148114,22.9990800367985,1,4.348
