Group,group_id,SubGroup,sub_id,Name,layer_id,Col,Legend,Unit,Table,MinCol,MidCol,MaxCol
Agriculture,751,Crops,752,Bananas,1008,Bananas,Percent Of Households Growing Bananas,Percentage,Crops_Landscape,#f8dfd8,#c04420,#850200
Agriculture,751,Crops,752,Beans,1009,Beans,Percent Of Households Growing Beans,Percentage,Crops_Landscape,#f8dfd8,#c04420,#850200
Agriculture,751,Crops,752,Bulrush Millet,1010,Bulrush_Millet,Percent Of Households Growing Bulrush Millet,Percentage,Crops_Landscape,#f8dfd8,#c04420,#850200
Agriculture,751,Crops,752,Cashew Nut,1011,Cashew_Nut,Percent Of Households Growing Cashew Nut,Percentage,Crops_Landscape,#f8dfd8,#c04420,#850200
Agriculture,751,Crops,752,Cassava,1012,Cassava,Percent Of Households Growing Cassava,Percentage,Crops_Landscape,#f8dfd8,#c04420,#850200
Agriculture,751,Crops,752,Chilies,1013,Chilies,Percent Of Households Growing Chilies,Percentage,Crops_Landscape,#f8dfd8,#c04420,#850200
Agriculture,751,Crops,752,Cocoa,1014,Cocoa,Percent Of Households Growing Cocoa,Percentage,Crops_Landscape,#f8dfd8,#c04420,#850200
Agriculture,751,Crops,752,Coconut,1015,Coconut,Percent Of Households Growing Coconut,Percentage,Crops_Landscape,#f8dfd8,#c04420,#850200
Agriculture,751,Crops,752,Coffee,1016,Coffee,Percent Of Households Growing Coffee,Percentage,Crops_Landscape,#f8dfd8,#c04420,#850200
Agriculture,751,Crops,752,Cotton,1017,Cotton,Percent Of Households Growing Cotton,Percentage,Crops_Landscape,#f8dfd8,#c04420,#850200
Agriculture,751,Crops,752,Egg Plant,1018,Egg_Plant,Percent Of Households Growing Egg Plant,Percentage,Crops_Landscape,#f8dfd8,#c04420,#850200
Agriculture,751,Crops,752,Field Peas,1019,Field_Peas,Percent Of Households Growing Field Peas,Percentage,Crops_Landscape,#f8dfd8,#c04420,#850200
Agriculture,751,Crops,752,Finger Millet,1020,Finger_Millet,Percent Of Households Growing Finger Millet,Percentage,Crops_Landscape,#f8dfd8,#c04420,#850200
Agriculture,751,Crops,752,Groundnut,1021,Groundnut,Percent Of Households Growing Groundnut,Percentage,Crops_Landscape,#f8dfd8,#c04420,#850200
Agriculture,751,Crops,752,Irish Potatoes,1022,Irish_Potatoes,Percent Of Households Growing Irish Potatoes,Percentage,Crops_Landscape,#f8dfd8,#c04420,#850200
Agriculture,751,Crops,752,Maize,1023,Maize,Percent Of Households Growing Maize,Percentage,Crops_Landscape,#f8dfd8,#c04420,#850200
Agriculture,751,Crops,752,Okra,1024,Okra,Percent Of Households Growing Okra,Percentage,Crops_Landscape,#f8dfd8,#c04420,#850200
Agriculture,751,Crops,752,Onions,1025,Onions,Percent Of Households Growing Onions,Percentage,Crops_Landscape,#f8dfd8,#c04420,#850200
Agriculture,751,Crops,752,Orange,1026,Orange,Percent Of Households Growing Orange,Percentage,Crops_Landscape,#f8dfd8,#c04420,#850200
Agriculture,751,Crops,752,Paddy,1027,Paddy,Percent Of Households Growing Paddy,Percentage,Crops_Landscape,#f8dfd8,#c04420,#850200
Agriculture,751,Crops,752,Palm Oil,1028,Palm_Oil,Percent Of Households Growing Palm Oil,Percentage,Crops_Landscape,#f8dfd8,#c04420,#850200
Agriculture,751,Crops,752,Pigeon Pea,1029,Pigeon_Pea,Percent Of Households Growing Pigeon Pea,Percentage,Crops_Landscape,#f8dfd8,#c04420,#850200
Agriculture,751,Crops,752,Pineapple,1030,Pineapple,Percent Of Households Growing Pineapple,Percentage,Crops_Landscape,#f8dfd8,#c04420,#850200
Agriculture,751,Crops,752,Pyrethrum,1031,Pyrethrum,Percent Of Households Growing Pyrethrum,Percentage,Crops_Landscape,#f8dfd8,#c04420,#850200
Agriculture,751,Crops,752,Rubber,1032,Rubber,Percent Of Households Growing Rubber,Percentage,Crops_Landscape,#f8dfd8,#c04420,#850200
Agriculture,751,Crops,752,Sesame Simsim,1033,Sesame_Simsim,Percent Of Households Growing Sesame Simsim,Percentage,Crops_Landscape,#f8dfd8,#c04420,#850200
Agriculture,751,Crops,752,Sorghum,1034,Sorghum,Percent Of Households Growing Sorghum,Percentage,Crops_Landscape,#f8dfd8,#c04420,#850200
Agriculture,751,Crops,752,Soyabeans,1035,Soyabeans,Percent Of Households Growing Soyabeans,Percentage,Crops_Landscape,#f8dfd8,#c04420,#850200
Agriculture,751,Crops,752,Sugar Cane,1036,Sugar_Cane,Percent Of Households Growing Sugar Cane,Percentage,Crops_Landscape,#f8dfd8,#c04420,#850200
Agriculture,751,Crops,752,Sunflower,1037,Sunflower,Percent Of Households Growing Sunflower,Percentage,Crops_Landscape,#f8dfd8,#c04420,#850200
Agriculture,751,Crops,752,Sweet Potatoes,1038,Sweet_Potatoes,Percent Of Households Growing Sweet Potatoes,Percentage,Crops_Landscape,#f8dfd8,#c04420,#850200
Agriculture,751,Crops,752,Tea,1039,Tea,Percent Of Households Growing Tea,Percentage,Crops_Landscape,#f8dfd8,#c04420,#850200
Agriculture,751,Crops,752,Timber,1040,Timber,Percent Of Households Growing Timber,Percentage,Crops_Landscape,#f8dfd8,#c04420,#850200
Agriculture,751,Crops,752,Tomatoes,1041,Tomatoes,Percent Of Households Growing Tomatoes,Percentage,Crops_Landscape,#f8dfd8,#c04420,#850200
Agriculture,751,Crops,752,Wheat,1042,Wheat,Percent Of Households Growing Wheat,Percentage,Crops_Landscape,#f8dfd8,#c04420,#850200
Agriculture,751,Crops,752,Yams,1043,Yams,Percent Of Households Growing Yams,Percentage,Crops_Landscape,#f8dfd8,#c04420,#850200
Agriculture,751,Intensification,753,Area Farmed,1044,Mean_HH_Area_Farmed,Mean Household Area Farmed,Acres,AgIntensification_Landscape,#e8f4dd,#669933,#055D00
Agriculture,751,Intensification,753,Area Owned,1045,Mean_Area_Owned,Mean Household Area Owned,,AgIntensification_Landscape,#e8f4dd,#669933,#055D00
Agriculture,751,Intensification,753,Commercialization,1046,Avg_Pct_Crops_Any_Sold,Mean Percentage Of Crops Where Any Amount Was Sold,Percentage,AgIntensification_Landscape,#e8f4dd,#669933,#055D00
Agriculture,751,Intensification,753,Field Sizes,1047,median_field_size,Median Field Size,Acres,AgIntensification_Landscape,#e8f4dd,#669933,#055D00
Agriculture,751,Intensification,753,Fungicides,1048,Fungicide_Rate,Percentage Of Fields Using Fungicides,Percentage,AgIntensification_Landscape,#e8f4dd,#669933,#055D00
Agriculture,751,Intensification,753,Herbicides,1049,Herbicide_Rate,Percentage Of Fields Using Herbicides,Percentage,AgIntensification_Landscape,#e8f4dd,#669933,#055D00
Agriculture,751,Intensification,753,Inorganic Fertilizer,1050,Pct_Fields_Inorg_Fert,Percentage Of Fields Using Inorganic Ferilizers,Percentage,AgIntensification_Landscape,#e8f4dd,#669933,#055D00
Agriculture,751,Intensification,753,Intercropping,1051,Intercrop_Rate,Percentage Of Fields Intercropped,Percentage,AgIntensification_Landscape,#e8f4dd,#669933,#055D00
Agriculture,751,Intensification,753,Irrigation,1052,Pct_Fields_Irrigated,Percentage Of Fields Irrigated,Percentage,AgIntensification_Landscape,#e8f4dd,#669933,#055D00
Agriculture,751,Intensification,753,Number Of Fields,1053,Mean_HH_Number_Fields,Mean Household Number Of Fields,,AgIntensification_Landscape,#e8f4dd,#669933,#055D00
Agriculture,751,Intensification,753,Pesticides,1054,Pesticide_Rate,Percentage Of Fields Using Pesticides,Percentage,AgIntensification_Landscape,#e8f4dd,#669933,#055D00
Agriculture,751,Intensification,753,Seed Purchasing,1055,Pct_Fields_Purchased_Seed,Percentage Of Fields Using Purchased Seeds,Percentage,AgIntensification_Landscape,#e8f4dd,#669933,#055D00
Agriculture,751,Production,754,Annual Crops,1056,AnnualCropProduction,Mean Household Annual Value Of Production Of Annual Crops,USD,AgValue_Landscape,#f8dfd8,#c04420,#850200
Agriculture,751,Production,754,Crop Byproducts,1057,CropByproductProduction,Mean Household Annual Value Of Production Of Crop Byproducts,USD,AgValue_Landscape,#f8dfd8,#c04420,#850200
Agriculture,751,Production,754,Livestock,1058,LivestockProduction,Mean Household Annual Value Of Production Of Livestock,USD,AgValue_Landscape,#f8dfd8,#c04420,#850200
Agriculture,751,Production,754,Livestock Byproducts,1059,LivestockByproductProduction,Mean Household Annual Value Of Production Of Livestock Byproducts,USD,AgValue_Landscape,#f8dfd8,#c04420,#850200
Agriculture,751,Production,754,Permanent Crops,1060,PermanentCropProduction,Mean Household Annual Value Of Production Of Permanent Crops,USD,AgValue_Landscape,#f8dfd8,#c04420,#850200
Agriculture,751,Production,754,Total,1061,TotalAgriculturalProduction,Mean Household Annual Value Of Production Of All Agriculture,USD,AgValue_Landscape,#f8dfd8,#c04420,#850200
Agriculture,751,Production,754,Yields Quartile,1062,Mean_Yield_Quantile,Mean Yield Quartle Across All Crops,,AgIntensification_Landscape,#e8f4dd,#669933,#055D00
Food & Nutrition,755,Food Security,756,Dietary Diversity,1063,Mean_Diet_Diversity,Mean Household Diet Diversity Score,,FoodSecurity_Landscape,#f8dfd8,#c04420,#850200
Food & Nutrition,755,Food Security,756,Food As A Percentage Of Total Spending,1064,Food_As_Percent_Total_Spending,"Percentage Of All Expenditures On Food, Household Mean",Percentage,FoodSecurity_Landscape,#f8dfd8,#c04420,#850200
Food & Nutrition,755,Food Security,756,Food Consumption,1065,Mean_Food_Consumption_Value,Mean Household Annual Food Consumption Value,USD,FoodSecurity_Landscape,#f8dfd8,#c04420,#850200
Food & Nutrition,755,Food Security,756,Food Shortages,1066,Percent_Shortage_Past_Year,Percentage Of Households Reporting Food Shortages In The Past Year,Percentage,FoodSecurity_Landscape,#850200,#c04420,#f8dfd8
Food & Nutrition,755,Food Security,756,Food Spending,1067,Mean_Food_Spending,Mean Household Annual Food Spending,USD,FoodSecurity_Landscape,#f8dfd8,#c04420,#850200
Food & Nutrition,755,Food Security,756,Nonfood Spending,1068,Mean_Nonfood_Spending,Mean Household Annual Nonfood Spending,USD,FoodSecurity_Landscape,#f8dfd8,#c04420,#850200
Food & Nutrition,755,Food Security,756,Number Of Meals,1069,avg_meals,Average Number Of Meals Per Day,,FoodSecurity_Landscape,#f8dfd8,#c04420,#850200
Food & Nutrition,755,Nutrition,758,Any Anthropometric Failutre,1070,percent_Composite_Index_Anthropometric_Failure,Percentage Of Children With Any Anthropometric Failure,Percentage,Nutrition_Landscape,#f8dfd8,#c04420,#850200
Food & Nutrition,755,Nutrition,758,Overweight,1071,percent_overweight,Percentage Of Children Overweight,Percentage,Nutrition_Landscape,#f8dfd8,#c04420,#850200
Food & Nutrition,755,Nutrition,758,Severe Stunting,1072,percent_severe_stunted,Percentage Of Children Severely Stunted,Percentage,Nutrition_Landscape,#f8dfd8,#c04420,#850200
Food & Nutrition,755,Nutrition,758,Severe Underweight,1073,percent_severe_underweight,Percentage Of Children Severely Underwieght,Percentage,Nutrition_Landscape,#f8dfd8,#c04420,#850200
Food & Nutrition,755,Nutrition,758,Severe Wasting,1074,percent_server_wasting,Percentage Of Children Severely Wasting,Percentage,Nutrition_Landscape,#f8dfd8,#c04420,#850200
Food & Nutrition,755,Nutrition,758,Stunting,1075,percent_stunted,Percentage Of Children Stunted,Percentage,Nutrition_Landscape,#f8dfd8,#c04420,#850200
Food & Nutrition,755,Nutrition,758,Underweight,1076,percent_underweight,Percentage Of Children Underweight,Percentage,Nutrition_Landscape,#f8dfd8,#c04420,#850200
Food & Nutrition,755,Nutrition,758,Wasting,1077,percent_wasting,Percentage Of Children Wasting,Percentage,Nutrition_Landscape,#f8dfd8,#c04420,#850200
Gender,748,Men,749,Business Operation,1078,Male_Percent_Operated_Business,Percentage Of Men Who Operate A Business,Percentage,Gender_Landscape,#f8dfd8,#c04420,#850200
Gender,748,Men,749,Firewood Collection,1079,Male_Percent_Collects_Firewood,Percentage Of Men Who Collect Firewood,Percentage,Gender_Landscape,#f8dfd8,#c04420,#850200
Gender,748,Men,749,Firewood Collection Hours,1080,Male_Mean_Hours_Spent,Mean Hours Spent Collecting Fuelwood By Men,Hours,Gender_Landscape,#f8dfd8,#c04420,#850200
Gender,748,Men,749,Headed Households,1081,Male_HH_Head,Percent Of Households Headed By Males,Percentage,Gender_Landscape,#f8dfd8,#c04420,#850200
Gender,748,Men,749,Hours Worked Last Week,1082,Male_Mean_Hours_Worked_Last_Week,Mean Hours Working In The Past Week By Men,Hours,Gender_Landscape,#f8dfd8,#c04420,#850200
Gender,748,Men,749,Literacy Rate,1083,Male_Literacy_Rate,Percentage Of Men Who Can Read In Any Language,Percentage,Gender_Landscape,#f8dfd8,#c04420,#850200
Gender,748,Men,749,Recent Work,1084,Male_Percent_Worked_Recently,Percentage Of Men Who Have Worked In Past Week,Percentage,Gender_Landscape,#f8dfd8,#c04420,#850200
Gender,748,Men,749,School Attendance,1085,Male_Percent_Attended_School,Percentage Of Men Who Have Attended School,Percentage,Gender_Landscape,#f8dfd8,#c04420,#850200
Gender,748,Women,750,Business Operation,1086,Female_Percent_Operated_Business,Percentage Of Women Who Operate A Business,Percentage,Gender_Landscape,#f8dfd8,#c04420,#850200
Gender,748,Women,750,Firewood Collection,1087,Female_Percent_Collects_Firewood,Percentage Of Women Who Collect Firewood,Percentage,Gender_Landscape,#f8dfd8,#c04420,#850200
Gender,748,Women,750,Firewood Collection Hours,1088,Female_Mean_Hours_Spent,Mean Hours Spent Collecting Fuelwood By Women,Hours,Gender_Landscape,#f8dfd8,#c04420,#850200
