Group,SubGroup,Name,Country,Legend,Unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biodiversity,,Biodiversity Index,biodiversity,Biodiversity Score For Woody Plants (Shannon Entropy Index),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tree Cover,,Canopy Cover Percent,Canopy,Percent Canopy Cover,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surface Cover,,Rooted Plants,Rooted.Plants,Surface Cover Score For Rooted Plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surface Cover,,Litter Cover,Litter.Cover,Surface Cover Score For Litter Cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surface Cover,,Downed Wood,Downed.Wood,Surface Cover Score For Downed Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surface Cover,,Stone or Gravel,Stone.or.Gravel,Surface Cover Score For Stone or Gravel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surface Cover,,Dung,Dung,Surface Cover Score For Dung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surface Cover,,Disturbed Soil,Disturbed.Soil,Surface Cover Score For Disturbed Soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surface Cover,,Undisturbed Bare   Porous Soil,Undisturbed.Bare...Porous.Soil,Surface Cover Score For Undisturbed Bare   Porous Soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surface Cover,,Undisturbed but Sealed Soil,Undisturbed.but.Sealed.Soil,Surface Cover Score For Undisturbed but Sealed Soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surface Cover,,Sodic Soil,Sodic.Soil,Surface Cover Score For Sodic Soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surface Cover,,Microfloral Crust,Microfloral.Crust,Surface Cover Score For Microfloral Crust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surface Cover,,Termite Mound,Termite.Mound,Surface Cover Score For Termite Mound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surface Cover,,Herbaceous Crown Cover Score,Herbaceous.Crown.Cover.Score,Surface Cover Score For Herbaceous Crown Cover Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surface Cover,,Soil Erosion Score,Soil.Erosion.Score,Surface Cover Score For Soil Erosion Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soil Chemistry,,Carbon,C,Total Carbon Content,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soil Chemistry,,Nitrogen,N,Total Nitrogen Content,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soil Chemistry,,Phosphorous,P,Phosphorous Total Element Concentration TXRF,mg/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soil Chemistry,,Potassium,K,Potassium Total Element Concentration TXRF,mg/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soil Chemistry,,pH,pH,Soil pH In Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
