"","table","columns","nrow"
"1","AgIntensification_HH","survey_uuid",821
"2","AgIntensification_HH","Country",821
"3","AgIntensification_HH","Landscape",821
"4","AgIntensification_HH","Household_ID",821
"5","AgIntensification_HH","Round",821
"6","AgIntensification_HH","median_field_size",821
"7","AgIntensification_HH","Total_Area_Farmed",821
"8","AgIntensification_HH","intercrop_rate",821
"9","AgIntensification_HH","pesticide",821
"10","AgIntensification_HH","herbicide",821
"11","AgIntensification_HH","fungicide",821
"12","AgIntensification_HH","yield_quantile",821
"13","AgIntensification_HH","avg_pct_crops_any_sold",821
"14","AgIntensification_HH","pct_fields_irrigated",821
"15","AgIntensification_HH","pct_fields_inorganic_fert",821
"16","AgIntensification_HH","pct_buy_seed",821
"17","AgIntensification_HH","number_fields",821
"18","AgIntensification_HH","Total_Area_Owned",821
"19","AgIntensification_Landscape","Country",25
"20","AgIntensification_Landscape","Landscape",25
"21","AgIntensification_Landscape","median_field_size",25
"22","AgIntensification_Landscape","Mean_HH_Area_Farmed",25
"23","AgIntensification_Landscape","Intercrop_Rate",25
"24","AgIntensification_Landscape","Pesticide_Rate",25
"25","AgIntensification_Landscape","Herbicide_Rate",25
"26","AgIntensification_Landscape","Fungicide_Rate",25
"27","AgIntensification_Landscape","Mean_Yield_Quantile",25
"28","AgIntensification_Landscape","Avg_Pct_Crops_Any_Sold",25
"29","AgIntensification_Landscape","Pct_Fields_Irrigated",25
"30","AgIntensification_Landscape","Pct_Fields_Inorg_Fert",25
"31","AgIntensification_Landscape","Pct_Fields_Purchased_Seed",25
"32","AgIntensification_Landscape","Mean_HH_Number_Fields",25
"33","AgIntensification_Landscape","Mean_Area_Owned",25
"34","AgIntensification_Landscape","Area_Owned_Ineq_Gini",25
"35","AgValue_HH","Household_ID",821
"36","AgValue_HH","Round",821
"37","AgValue_HH","Country",821
"38","AgValue_HH","Landscape",821
"39","AgValue_HH","Crops",821
"40","AgValue_HH","Permanent_Crops",821
"41","AgValue_HH","Livestock_Byproducts",821
"42","AgValue_HH","Livestock",821
"43","AgValue_HH","Crop_Byproducts",821
"44","AgValue_HH","total",821
"45","AgValue_Landscape","Country",25
"46","AgValue_Landscape","Landscape",25
"47","AgValue_Landscape","AnnualCropProduction",25
"48","AgValue_Landscape","PermanentCropProduction",25
"49","AgValue_Landscape","LivestockByproductProduction",25
"50","AgValue_Landscape","LivestockProduction",25
"51","AgValue_Landscape","CropByproductProduction",25
"52","AgValue_Landscape","TotalAgriculturalProduction",25
"53","AgValue_Landscape","Production_Inequality_Gini",25
"54","Biophysical","Country",1351
"55","Biophysical","Landscape",1351
"56","Biophysical","Eplot",1351
"57","Biophysical","latitude",1351
"58","Biophysical","longitude",1351
"59","Biophysical","survey_uuid",1351
"60","Biophysical","flag",1351
"61","Biophysical","biodiversity",1351
"62","Biophysical","Canopy",1351
"63","Biophysical","Rooted_Plants",1351
"64","Biophysical","Litter_Cover",1351
"65","Biophysical","Downed_Wood",1351
"66","Biophysical","Stone_or_Gravel",1351
"67","Biophysical","Dung",1351
"68","Biophysical","Disturbed_Soil",1351
"69","Biophysical","Undisturbed_Bare___Porous_Soil",1351
"70","Biophysical","Undisturbed_but_Sealed_Soil",1351
"71","Biophysical","Sodic_Soil",1351
"72","Biophysical","Microfloral_Crust",1351
"73","Biophysical","Termite_Mound",1351
"74","Biophysical","Herbaceous_Crown_Cover_Score",1351
"75","Biophysical","Soil_Erosion_Score",1351
"76","Biophysical","C",1351
"77","Biophysical","N",1351
"78","Biophysical","P",1351
"79","Biophysical","K",1351
"80","Biophysical","pH",1351
"81","Capital_HH","Country",821
"82","Capital_HH","Landscape",821
"83","Capital_HH","Household_ID",821
"84","Capital_HH","Round",821
"85","Capital_HH","size",821
"86","Capital_HH","literate",821
"87","Capital_HH","years",821
"88","Capital_HH","age",821
"89","Capital_Landscape","Country",25
"90","Capital_Landscape","Landscape",25
"91","Capital_Landscape","size",25
"92","Capital_Landscape","literate",25
"93","Capital_Landscape","years",25
"94","Capital_Landscape","age",25
"95","Crops_HH","Household_ID",810
"96","Crops_HH","Round",810
"97","Crops_HH","Country",810
"98","Crops_HH","Landscape",810
"99","Crops_HH","Bananas",810
"100","Crops_HH","Maize",810
"101","Crops_HH","Paddy",810
"102","Crops_HH","Sorghum",810
"103","Crops_HH","Bulrush_Millet",810
"104","Crops_HH","Finger_Millet",810
"105","Crops_HH","Wheat",810
"106","Crops_HH","Cassava",810
"107","Crops_HH","Sweet_Potatoes",810
"108","Crops_HH","Irish_Potatoes",810
"109","Crops_HH","Yams",810
"110","Crops_HH","Onions",810
"111","Crops_HH","Beans",810
"112","Crops_HH","Pigeon_Pea",810
"113","Crops_HH","Field_Peas",810
"114","Crops_HH","Sunflower",810
"115","Crops_HH","Sesame_Simsim",810
"116","Crops_HH","Groundnut",810
"117","Crops_HH","Palm_Oil",810
"118","Crops_HH","Coconut",810
"119","Crops_HH","Cashew_Nut",810
"120","Crops_HH","Soyabeans",810
"121","Crops_HH","Cotton",810
"122","Crops_HH","Pyrethrum",810
"123","Crops_HH","Coffee",810
"124","Crops_HH","Tea",810
"125","Crops_HH","Cocoa",810
"126","Crops_HH","Rubber",810
"127","Crops_HH","Sugar_Cane",810
"128","Crops_HH","Pineapple",810
"129","Crops_HH","Orange",810
"130","Crops_HH","Tomatoes",810
"131","Crops_HH","Chilies",810
