lab,col
Bananas,bananas
Beans,beans
Bulrush Millet,bulrush_millet
Cashew Nut,cashew_nut
Cassava,cassava
Chilies,chilies
Cocoa,cocoa
Coconut,coconut
Coffee,coffee
Cotton,cotton
Egg Plant,egg_plant
Field Peas,field_peas
Finger Millet,finger_millet
Groundnut,groundnut
Irish Potatoes,irish_potatoes
Maize,maize
Okra,okra
Onions,onions
Orange,orange
Palm Oil,palm_oil
Pigeon Pea,pigeon_pea
Pineapple,pineapple
Pyrethrum,pyrethrum
Rice,paddy
Rubber,rubber
Sesame Simsim,sesame_simsim
Sorghum,sorghum
Soyabeans,soyabeans
Sugar Cane,sugar_cane
Sunflower,sunflower
Sweet Potatoes,sweet_potatoes
Tea,tea
Timber,timber
Tomatoes,tomatoes
Wheat,wheat
Yams,yams
