"Country","Landscape..","Household.ID","Round","Good_Soil","Bad_Soil","erosion_control"
"GHA","L01","13sx7zZ45L7","1",0,0.333333333333333,FALSE
"GHA","L01","5xb8kqgFVh9","1",0,0,FALSE
"GHA","L01","87qeDKg8sj5","1",1,0,FALSE
"GHA","L01","aEPhhDYMsKA","1",1,0,FALSE
"GHA","L01","bnNcJ3bknL7","1",1,0,FALSE
"GHA","L01","dQNLmp8vbx7","1",0,0,FALSE
"GHA","L01","dVULAjf4W89","1",0,0.5,FALSE
"GHA","L01","e4zTqWoHTi","1",0.5,0.5,FALSE
"GHA","L01","EAdeyuGhu85","1",0,0.5,TRUE
"GHA","L01","EmjTzkKPcK4","1",0.6,0,FALSE
"GHA","L01","FcfWcnPR1A6","1",0,0,FALSE
"GHA","L01","GEgBv7HAf68","1",0,0,FALSE
"GHA","L01","hy4613HYBr3","1",1,0,FALSE
"GHA","L01","jR5EnTkAqM3","1",1,0,FALSE
"GHA","L01","k8zEL6BmKHB","1",0,0,FALSE
"GHA","L01","KoKjL6iByr6","1",1,0,FALSE
"GHA","L01","KSchTBWs2p7","1",0,0,FALSE
"GHA","L01","n3hCRp3nTfB","1",0.5,0.5,FALSE
"GHA","L01","njfYPSwX6c8","1",0,0,FALSE
"GHA","L01","PXb5NT8y8n6","1",0,0,TRUE
"GHA","L01","qG2u89ePnM3","1",0,0,FALSE
"GHA","L01","qqEgat4rGk9","1",1,0,FALSE
"GHA","L01","qy7poFPTo22","1",0,0,FALSE
"GHA","L01","rvasPDxnwj3","1",1,0,FALSE
"GHA","L01","UDYnaavH8U3","1",0,0,FALSE
"GHA","L01","V42v2Qoi8j3","1",1,0,FALSE
"GHA","L01","vz6UQ8NGgEA","1",0,0,FALSE
"GHA","L01","Xg5bY5Ztxx2","1",1,0,FALSE
"GHA","L01","ZgVCya2zX73","1",0.75,0,FALSE
"GHA","L01","ZsXLTqgEPA2","1",0,1,FALSE
"GHA","L02","aC1Yp9Vbbb9","1",1,0,FALSE
"GHA","L02","ArjKWQXjiQ2","1",0,0,FALSE
"GHA","L02","arUegScQDF9","1",0,0,TRUE
"GHA","L02","BNLAgvK3aCA","1",1,0,FALSE
"GHA","L02","cSN6zpcALp9","1",0,0,FALSE
"GHA","L02","d4TMBLeBJr2","1",0,0,FALSE
"GHA","L02","fkisAfkhBS2","1",1,0,FALSE
"GHA","L02","gEi4dQZTGjA","1",1,0,FALSE
"GHA","L02","GLaBCfmRHT9","1",1,0,FALSE
"GHA","L02","go6Ch5Km3k7","1",0,0,FALSE
"GHA","L02","h9yzMoqrEr7","1",0,0,FALSE
"GHA","L02","HK4BRArXjD6","1",0.333333333333333,0,FALSE
"GHA","L02","LcDR4MVNrw","1",0,0,FALSE
"GHA","L02","MdadqCNEiL","1",0,0,FALSE
"GHA","L02","MFMymqGXjf8","1",0.333333333333333,0,FALSE
"GHA","L02","Ny58V5eghz7","1",1,0,TRUE
"GHA","L02","NZwEq9cA5VB","1",0,0,FALSE
"GHA","L02","oJSmP1FYvbB","1",0,0,FALSE
"GHA","L02","pEa2FhYEyQ2","1",0,0,TRUE
"GHA","L02","RkxgfouGkY6","1",1,0,FALSE
"GHA","L02","SAvMdkgq8K4","1",1,0,FALSE
"GHA","L02","sSK4YGpVFE3","1",1,0,FALSE
"GHA","L02","tcEkwscfpH4","1",0.333333333333333,0,FALSE
"GHA","L02","tKy51hwqVM2","1",0,0,FALSE
"GHA","L02","UUj4sWMqYC3","1",0,0,FALSE
"GHA","L02","vyxUdnM5dv5","1",0.5,0,FALSE
"GHA","L02","Wth4nHzDVc8","1",0,0,FALSE
"GHA","L02","XiQuiDjntD2","1",0,0,FALSE
