"Country","Landscape..","erosion_control_household_percent"
"GHA","L01",0.0645161290322581
"GHA","L02",0.1
"GHA","L03",0.1
"GHA","L04",0.258064516129032
"GHA","L05",0.0333333333333333
"GHA","L06",0.119047619047619
"RWA","L01",1
"RWA","L02",0.466666666666667
"RWA","L03",0.433333333333333
"RWA","L04",1
"RWA","L06",0.862068965517241
"RWA","L07",0.633333333333333
"TZA","L03",0
"TZA","L10",0.366666666666667
"TZA","L11",0
"TZA","L18",0.307692307692308
"TZA","L19",0.0689655172413793
"TZA","L20",0.366666666666667
"TZA","L22",0
"UGA","L01",0.166666666666667
"UGA","L02",0.466666666666667
"UGA","L03",0.233333333333333
"UGA","L04",0.724137931034483
"UGA","L06",0.0666666666666667
"UGA","L07",0.0333333333333333
