"ISO","Landscape","degraded_area_km","improved_area_km","degraded_area_mean_slope","improved_area_mean_slope","time_period","resolution","dataset","method"
"TZA","L03",0,0,NA,NA,"1982-2015","8 km","GIMMS3g","S-RESTREND"
"TZA","L10",0,0,NA,NA,"1982-2015","8 km","GIMMS3g","S-RESTREND"
"TZA","L11",0,0,NA,NA,"1982-2015","8 km","GIMMS3g","S-RESTREND"
"TZA","L18",0,0,NA,NA,"1982-2015","8 km","GIMMS3g","S-RESTREND"
"TZA","L19",0,0,NA,NA,"1982-2015","8 km","GIMMS3g","S-RESTREND"
"TZA","L20",0,0,NA,NA,"1982-2015","8 km","GIMMS3g","S-RESTREND"
"TZA","L02",0,0,NA,NA,"1982-2015","8 km","GIMMS3g","S-RESTREND"
"TZA","L22",50,0,-0.0026,NA,"1982-2015","8 km","GIMMS3g","S-RESTREND"
"KEN","L05",0,0,NA,NA,"1982-2015","8 km","GIMMS3g","S-RESTREND"
"KEN","L03",0,50,NA,0.0039,"1982-2015","8 km","GIMMS3g","S-RESTREND"
"KEN","L02",0,0,NA,NA,"1982-2015","8 km","GIMMS3g","S-RESTREND"
"KEN","L04",0,0,NA,NA,"1982-2015","8 km","GIMMS3g","S-RESTREND"
"KEN","L06",0,0,NA,NA,"1982-2015","8 km","GIMMS3g","S-RESTREND"
"KEN","L01",0,100,NA,0.0032,"1982-2015","8 km","GIMMS3g","S-RESTREND"
"UGA","L01",0,100,NA,0.0052,"1982-2015","8 km","GIMMS3g","S-RESTREND"
"UGA","L02",0,0,NA,NA,"1982-2015","8 km","GIMMS3g","S-RESTREND"
"UGA","L03",0,100,NA,0.0028,"1982-2015","8 km","GIMMS3g","S-RESTREND"
"UGA","L04",100,0,-0.0023,NA,"1982-2015","8 km","GIMMS3g","S-RESTREND"
"UGA","L06",0,100,NA,0.0041,"1982-2015","8 km","GIMMS3g","S-RESTREND"
"UGA","L07",0,100,NA,0.0047,"1982-2015","8 km","GIMMS3g","S-RESTREND"
"RWA","L06",0,0,NA,NA,"1982-2015","8 km","GIMMS3g","S-RESTREND"
"RWA","L01",100,0,-0.002,NA,"1982-2015","8 km","GIMMS3g","S-RESTREND"
"RWA","L02",100,0,-0.0044,NA,"1982-2015","8 km","GIMMS3g","S-RESTREND"
"RWA","L03",0,0,NA,NA,"1982-2015","8 km","GIMMS3g","S-RESTREND"
"RWA","L04",0,0,NA,NA,"1982-2015","8 km","GIMMS3g","S-RESTREND"
"RWA","L07",0,0,NA,NA,"1982-2015","8 km","GIMMS3g","S-RESTREND"
"TZA","L03",99.75,0,-0.00747352213330945,NA,"2003-2015","250 m","MODIS","S-RESTREND"
"TZA","L10",23.8125,3.0625,-0.00289260156408656,0.00263790970155019,"2003-2015","250 m","MODIS","S-RESTREND"
