"Country","Landscape..","Male.Literacy.Rate","Male.Percent.Attended.School","Male.Percent.Worked.Recently","Male.Mean.Hours.Worked.Last.Week","Male.Percent.Operated.Business","Male.Percent.Collects.Firewood","Male.Mean.Hours.Spent","Female.Literacy.Rate","Female.Percent.Attended.School","Female.Percent.Worked.Recently","Female.Mean.Hours.Worked.Last.Week","Female.Percent.Operated.Business","Female.Percent.Collects.Firewood","Female.Mean.Hours.Spent","Male.HH.Head","Female.HH.Head"
"GHA","L01",0.390740740740741,0.613786008230453,0.679688418577307,37.6666666666667,0.0192307692307692,0.267283950617284,2.66666666666667,0.191369047619048,0.39702380952381,0.644345238095238,NA,0.0185185185185185,0.605952380952381,2.28846153846154,0.931034482758621,0.0689655172413793
"GHA","L02",0.349767378215654,0.491119321291735,0.852166224580018,26.25,0.0178571428571429,0.417241379310345,1.80116959064327,0.192205801860974,0.358393541324576,0.796031746031746,17.5,0,0.468828680897646,2.46166666666667,1,0
"GHA","L03",0.504676870748299,0.780612244897959,0.821598639455782,18,0,0.410714285714286,2.07142857142857,0.241093474426808,0.543033509700176,0.796296296296296,NA,0,0.677601410934744,1.91666666666667,0.8,0.2
"GHA","L04",0.68040293040293,0.936538461538462,0.837454212454212,19.4375,0,0.457600732600733,1.84444444444444,0.449382716049383,0.849294532627866,0.895061728395062,10.3333333333333,0,0.620987654320988,1.79710144927536,0.827586206896552,0.172413793103448
"GHA","L05",0.69347158218126,0.870660522273425,0.882795698924731,19,0.025,0.53863287250384,2.53125,0.428571428571429,0.71468253968254,0.802777777777778,12,0,0.647222222222222,2.45192307692308,0.903225806451613,0.0967741935483871
"GHA","L06",0.591572184429327,0.767894935752079,0.593970921702014,30.2142857142857,0,0.379308390022676,1.95652173913043,0.401948051948052,0.637246216315984,0.62634316587805,24,0.00854700854700855,0.682484311554079,2.08333333333333,0.931818181818182,0.0681818181818182
"RWA","L01",0.507716836734694,0.675595238095238,0.995535714285714,25.2055555555556,0.0136363636363636,0.420727040816327,3.48015873015873,0.450972222222222,0.62,0.975,17.8684210526316,0,0.505277777777778,3.17628205128205,0.8,0.2
"RWA","L02",0.654597701149425,0.805172413793103,0.964285714285714,25.2727272727273,0,0.43735632183908,2.05555555555556,0.456507936507936,0.635476190476191,0.991666666666667,9.07142857142857,0.0166666666666667,0.598333333333333,2.4375,0.666666666666667,0.333333333333333
"RWA","L03",0.609444444444444,0.733888888888889,0.952873563218391,13.625,0,0.383888888888889,2.74074074074074,0.579444444444444,0.705,1,5.69230769230769,0.0111111111111111,0.737222222222222,2.31609195402299,0.7,0.3
"RWA","L04",0.551666666666667,0.665555555555556,1,28.1,0,0.471111111111111,2.8695652173913,0.570555555555556,0.696666666666667,1,18.5,0,0.752222222222222,2.92873563218391,0.8,0.2
"RWA","L06",0.565151515151515,0.73030303030303,0.946540880503145,16.5,0.0192307692307692,0.312121212121212,2.53846153846154,0.619652945924132,0.75500403551251,0.935431799838579,16.5,0,0.672841000807103,2.60802469135802,0.683333333333333,0.316666666666667
