"Category","Male_mean","Male_sd","Female_mean","Female_sd","P_score","F_value"
"shortage_year",0.614718614718615,0.487189276735856,0.650943396226415,0.478936377725012,0.430507774593271,0.622373591543378
"number_meals",2.38961038961039,0.570173566203144,2.28301886792453,0.581536830609117,0.0376904242162732,4.33997381793306
"diversity",0.589270253555968,0.134444542844465,0.54366576819407,0.133325998661417,0.000834268634956446,11.2882646962248
"Nonfood.Spending",0.393035640721073,0.922777163303229,0.430917686245234,0.639443182465095,0.661788006593984,0.191567058287946
"Food.Consumption.Value",474.909121172698,709.565747469716,349.779052811969,372.889954272459,0.0620175561010849,3.49690458511858
"Food.Spending",0.290788675632633,0.288044994295809,0.24315467490039,0.238768092449185,0.0623424782362629,3.48819480699387
"Food_As_Percent_Total_Spending",51.3285118977433,22.2125052738606,47.2739094588713,23.3955488864612,0.0681621225739084,3.3399295644552
"median_field_size",1.72876384279476,6.29677879899982,0.838222115384615,1.26080182486921,0.137995045067621,2.20668517961469
"Total_Area_Farmed",3.34064041394336,7.25068867537308,1.83404711538462,2.62348882078943,0.0255035181468284,5.01699634989
"intercrop_rate",0.339389740376582,0.385237233548939,0.328294036061026,0.386264218888132,0.762249192746291,0.0916162323283298
"pesticide",0.132942704633077,0.270419121200656,0.0634324009324009,0.190603528713497,0.00856019098134632,6.96317556216018
"herbicide",0.109653190233059,0.279517158094253,0.0556891025641026,0.205737105970938,0.0453958211700144,4.02245363838339
"fungicide",0.00656455142231947,0.0637860036917067,0.00240384615384615,0.024514516892273,0.50974743359322,0.435162260695099
"yield_quantile",2.47835215148299,0.903561501288298,2.55910341034103,0.922664367929029,0.371131752959921,0.801287688409037
"avg_pct_crops_any_sold",0.368785103785104,0.372739967226852,0.351244413623054,0.380511289730538,0.642377497870903,0.215890021484927
"pct_fields_irrigated",0.0258346415489273,0.147642723177156,0.022875816993464,0.142736141141793,0.818387376642595,0.0527768679132684
