"Household.ID","Round","survey_uuid","Country","Landscape..","income_own","income_wage","income_crops","income_perm_crop","income_lvstk_byprod","income_byprod","income_lvstk","cost_seeds","cost_org_fert","cost_syn_fert","cost_pesticide","Total_Income","AgIncome","NonAgIncome","AgInvestments"
"13sx7zZ45L7","1","87a94a65-e27c-40ee-8673-3eead171412e","GHA","L01",1560,2040,100,0,0,0,0,60,0,80,24,3700,100,3600,164
"17tw28pAwD3","1","402b090d-ff24-4610-b019-cf97a9a5d4aa","TZA","L11",0,3650000,860000,0,0,0,0,29000,0,240000,3000,4510000,860000,3650000,272000
"1aHi48GS6A5","1","facb6aff-dc3b-45a7-9c5e-f5c2a5b1e0e7","RWA","L03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1AHvfwxYcT6","1","8014d7fa-dc8f-4784-be0f-c719e7dca5b2","TZA","L20",0,0,350000,0,0,0,0,70000,0,0,19000,350000,350000,0,89000
"1DKzT4xkSq9","1","00a1f24b-dc53-44d3-b76c-8b957ea0274b","UGA","L03",782142.9,0,120000,394000,0,0,0,20000,0,0,23000,1296142.9,514000,782142.9,43000
"1m6QKguDbp4","1","58a29b06-59f2-4ba1-9a54-1ecbf885610e","RWA","L03",0,365000,0,45000,0,0,120000,0,0,0,0,530000,165000,365000,0
"1Mcd53U8Qb4","1","762241cc-2333-4419-968a-f6a156e27f70","UGA","L02",0,3285000,328400,1425000,12600,0,4e+05,126000,0,0,0,5451000,2166000,3285000,126000
"1tDK7dEA7q4","1","fb995466-3bd4-4ca1-ae89-e1c6be6ba2bd","RWA","L07",0,255500,0,0,0,0,0,0,0,0,0,255500,0,255500,0
"1U2KYPp4RE4","1","350d58da-ecff-44b7-831b-4c675384e126","TZA","L18",0,0,0,0,24000,0,90000,NA,NA,NA,NA,114000,114000,0,0
"1YCu7s1wQ37","1","45aaba58-3125-4870-a3c4-893e2bbaf831","UGA","L02",0,2007500,2e+05,220000,0,0,0,129000,0,0,50000,2427500,420000,2007500,179000
"1YyZC8Zyxy7","1","d429403a-c2c9-43d1-a83c-9a5645e1c2ae","GHA","L03",0,0,180,0,0,0,0,0,0,0,44,180,180,0,44
"25LYWDpsci5","1","8b3f9f58-1fc6-48ba-b0ec-4bd5fea27816","UGA","L07",0,1800000,32000,4000,0,0,30000,60000,0,0,0,1866000,66000,1800000,60000
"29hZgxCQpf4","1","11d4057b-6dcc-461f-b516-09d640735146","RWA","L03",0,0,96000,0,0,15000,0,0,0,0,0,111000,111000,0,0
"2AzeKX3Xdj9","1","8d32985f-78de-4f99-9f81-a93df95704dd","RWA","L01",521428.6,0,0,2000,0,0,0,5600,0,1850,0,523428.6,2000,521428.6,7450
"2AzeKX3Xdj9","2","dbaa44c9-a120-4f3a-9ba7-9791c2eb5e48","RWA","L01",1042857.2,0,0,0,0,0,290000,16940,0,0,0,1332857.2,290000,1042857.2,16940
"2GJh9RvP6U3","1","57b11406-197c-4f5c-b52d-f2704afffa8f","TZA","L10",0,0,40000,0,7800,0,0,0,0,0,4000,47800,47800,0,4000
"2JxppdNdy1B","1","1adb289b-24fc-4fde-bc95-6779e0979d8a","TZA","L11",0,0,63000,0,0,0,0,0,0,55000,0,63000,63000,0,55000
"2Q7MnSV2oJ5","1","bcac311b-d9b6-4f3d-bc3f-4270d9fd2e24","GHA","L06",0,2867.8573,2300,2320,36,0,850,4.2,0,0,88,8373.8573,5506,2867.8573,92.2
"2tfKupRSSR9","1","757cca27-6014-4a05-becb-94713bbef40b","RWA","L03",0,104285.72,0,0,0,0,0,2000,0,0,0,104285.72,0,104285.72,2000
"2tg6ar7zuS5","1","33cd8c74-bb90-4294-932c-cb7073c5f084","TZA","L22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2TsiWCE9wU3","1","f70c1e59-24c5-4e71-9f1e-a44b42ded6d9","UGA","L02",380714.3,0,0,9e+05,350000,0,1550000,8000,0,0,0,3180714.3,2800000,380714.3,8000
"2tw7sF6jPB4","1","1cc0ae0c-256f-4f81-9ffb-e1180f4acaf0","TZA","L11",0,0,120000,0,0,0,0,0,0,75000,0,120000,120000,0,75000
"2w6GUTeKDd","1","23ea4735-f10e-464f-9774-ee951ff362d2","GHA","L03",0,0,4810,0,0,0,0,0,0,280,410,4810,4810,0,690
"2zFRVcySNg6","1","c44044e3-f1a9-4787-8085-b1633d00f725","TZA","L18",0,6205000,180000,0,0,0,220000,6900,0,60000,10000,6605000,4e+05,6205000,76900
"2Zy882qHx74","1","031bba75-b554-451c-afa1-a41db7eabdef","UGA","L06",0,0,570000,0,8000,0,44000,0,0,0,44000,622000,622000,0,44000
"3262VdP66d2","1","9179a33c-da69-4527-84b5-ddba65cbaceb","GHA","L06",3910.7145,0,2800,0,0,0,0,0,0,0,220,6710.7145,2800,3910.7145,220
"3aT11RTk4H8","1","b9454b7a-3846-4377-b4d3-c57972759ecb","RWA","L07",260714.3,0,133000,14000,0,0,20000,0,0,3900,0,427714.3,167000,260714.3,3900
"3bdaYKw2CU5","1","47439c25-ee01-4ea4-8130-8296984af65e","TZA","L11",0,0,2298000,0,0,0,40000,6000,0,35000,0,2338000,2338000,0,41000
"3BWtidtw1gB","1","b2c89592-3022-4f07-b0e0-8309b1954786","UGA","L03",0,0,90000,0,0,0,0,20000,0,0,17000,90000,90000,0,37000
"3csKwZMd8vA","1","7404e851-9e1b-4f35-9232-842f3b0fc510","UGA","L02",0,1825000,192000,170000,18000,0,0,94800,0,0,42000,2205000,380000,1825000,136800
"3eWkuw2PPtA","1","b83dfaa3-d04a-440a-b981-b1460ad52c34","UGA","L03",0,208571.44,350000,0,0,0,0,0,0,0,0,558571.44,350000,208571.44,0
