"Country","Landscape..","Male.Gender","Male.Literacy.Rate","Male.Percent.Attended.School","Male.Percent.Worked.Recently","Male.Mean.Hours.Worked.Last.Week","Male.Percent.Operated.Business","Male.Percent.Collects.Firewood","Male.Mean.Hours.Spent","Female.Gender","Female.Literacy.Rate","Female.Percent.Attended.School","Female.Percent.Worked.Recently","Female.Mean.Hours.Worked.Last.Week","Female.Percent.Operated.Business","Female.Percent.Collects.Firewood","Female.Mean.Hours.Spent"
"GHA","L01","Male",0.39,0.6,0.677777777777778,37.6666666666667,0.0119047619047619,0.25,2.84,"Female",0.241758241758242,0.43956043956044,0.675,NA,0.0136986301369863,0.549450549450549,2.30612244897959
"GHA","L02","Male",0.351351351351351,0.567567567567568,0.763779527559055,26.25,0.00806451612903226,0.310810810810811,2.19565217391304,"Female",0.204379562043796,0.335766423357664,0.815789473684211,17.5,0,0.569343065693431,2.44871794871795
"GHA","L03","Male",0.477611940298507,0.746268656716418,0.746031746031746,18,0,0.328358208955224,1.95454545454545,"Female",0.288135593220339,0.576271186440678,0.792452830188679,NA,0,0.610169491525424,1.77142857142857
"GHA","L04","Male",0.736842105263158,0.921052631578947,0.842857142857143,19.3636363636364,0,0.434210526315789,1.90909090909091,"Female",0.471428571428571,0.857142857142857,0.818181818181818,10.3333333333333,0,0.471428571428571,1.81818181818182
"GHA","L05","Male",0.67032967032967,0.846153846153846,0.841463414634146,19,0.027027027027027,0.483516483516484,2.88636363636364,"Female",0.480519480519481,0.753246753246753,0.794520547945205,12,0,0.545454545454545,2.45238095238095
"GHA","L06","Male",0.613953488372093,0.8,0.587378640776699,27.7058823529412,0,0.6,1.5859375,"Female",0.570707070707071,0.777777777777778,0.67027027027027,24,0.00680272108843537,0.722222222222222,1.71428571428571
"RWA","L01","Male",0.473372781065089,0.644970414201183,0.992647058823529,26.5675675675676,0.0155038759689922,0.402366863905325,3.38235294117647,"Female",0.460227272727273,0.653409090909091,0.974193548387097,22.12,0,0.454545454545455,3.0125
"RWA","L02","Male",0.629032258064516,0.774193548387097,0.962962962962963,26.3333333333333,0,0.419354838709677,2.19230769230769,"Female",0.5,0.666666666666667,0.986666666666667,7.88888888888889,0.0138888888888889,0.5,2.30952380952381
"RWA","L03","Male",0.605263157894737,0.736842105263158,0.9375,12.7826086956522,0,0.394736842105263,2.5,"Female",0.580246913580247,0.728395061728395,1,5.28571428571429,0.0140845070422535,0.728395061728395,2.3728813559322
"RWA","L04","Male",0.544444444444444,0.688888888888889,1,28.0909090909091,0,0.422222222222222,2.97368421052632,"Female",0.529411764705882,0.670588235294118,1,16.9166666666667,0,0.682352941176471,2.81034482758621
