Landscape..,Country,"Cropland, rainfed",Herbaceous cover,Tree or shrub cover,"Cropland, irrigated or flooded",Mosaic cropland (>50%) / natural vegetation,Mosaic natural vegetation,"Tree cover, broadleaved, evergreen, closed to open","Tree cover, broadleaved, deciduous, closed to open","Tree cover, broadleaved, deciduous, closed","Tree cover, broadleaved, deciduous, open","Tree cover, needleleaved, evergreen, closed to open","Tree cover, mixed",Mosaic tree and shrub (>50%)/herbaceous cover (<50%),Mosaic herbaceous (>50%)/tree and shrub (<50%),Shrubland,Shrubland evergreen,Shrubland deciduous,Grassland,"Sparse vegetation (tree, shrub, herbaceous cover (<15%)","Shrub or herbaceous cover, flooded, fresh/saline/brakish water",Urban areas,Bare areas,Water bodies,AG_Total,NR_Total
L06,RWA,90.94269871,0,0,2.402957486,0,0,0,0,0,3.696857671,2.402957486,0,0.092421442,0,0.462107209,0,0,0,0,0,0,0,0,93.34565619,6.654343808
L01,RWA,39.96229972,0,4.901036758,3.487276155,0,0,37.98303487,0,0,4.052780396,3.487276155,0,1.036757776,0,5.089538172,0,0,0,0,0,0,0,0,43.44957587,56.55042413
L02,RWA,55.23465704,0.180505415,0,0,1.714801444,5.144404332,0.180505415,3.790613718,0.180505415,28.42960289,0,0,3.249097473,0,0.180505415,1.714801444,0,0,0,0,0,0,0,56.94945848,43.05054152
L03,RWA,67.3565381,0.564440263,0,0.658513641,0,2.916274694,0,2.069614299,0.282220132,12.32361242,0.658513641,0,0.470366886,0,6.208842897,0,0,0,0,0.658513641,0,0,5.832549389,68.01505174,26.15239887
L04,RWA,91.30859375,0,0,0,0,0.1953125,1.3671875,2.05078125,0.48828125,3.90625,0,0,0.1953125,0,0.48828125,0,0,0,0,0,0,0,0,91.30859375,8.69140625
L07,RWA,97.75390625,0,2.05078125,0,0,0,0,0,0,0.1953125,0,0,0,0,0,0,0,0,0,0,0,0,0,97.75390625,2.24609375
L02,TZA,77.93296089,0.837988827,0,0,1.675977654,2.70018622,0.372439479,0.372439479,0.651769088,6.983240223,0,0,0,0,6.610800745,1.675977654,0,0,0,0.186219739,0,0,0,79.60893855,20.39106145
L10,TZA,29.68164794,7.303370787,0,0,4.119850187,30.33707865,0,0,0,14.70037453,0,0,0,0,3.370786517,4.119850187,5.43071161,0.936329588,0,0,0,0,0,33.80149813,66.19850187
L11,TZA,10.4815864,0,0,0,0.283286119,0.472143532,0,7.271010387,7.365439093,73.46553352,0,0,0,0,0.188857413,0.283286119,0.188857413,0,0,0,0,0,0,10.76487252,89.23512748
L19,TZA,43.8752784,0,0,21.08389013,0.519673348,1.262063846,0,0,0,0,21.08389013,0,0,0,0,0.519673348,0,0,0,11.65553081,0,0,0,65.47884187,34.52115813
L20,TZA,36.33187773,19.47598253,0,7.772925764,0,0.174672489,0,0,0,0,7.772925764,0,0,0,2.358078603,0,0,5.851528384,0,20.26200873,0,0,0,44.10480349,55.89519651
L22,TZA,5.900621118,0,0,0,18.01242236,7.531055901,0,24.30124224,5.279503106,0.931677019,0,0,0,0,20.0310559,18.01242236,0,0,0,0,0,0,0,23.91304348,76.08695652
L01,UGA,54.34583715,0,0,0,0.365965233,2.378774016,0,0,0,34.85818847,0,0,3.659652333,0,4.025617566,0.365965233,0,0,0,0,0,0,0,54.71180238,45.28819762
L02,UGA,97.8219697,0,0,0,0,0,0.662878788,0,0,0.473484848,0,0.946969697,0,0,0,0,0,0,0,0.09469697,0,0,0,97.8219697,2.178030303
L03,UGA,72.05199629,0,0,0,1.949860724,0.185701021,23.86258124,0,0,0,0,0,0,0,0,1.949860724,0,0,0,0,0,0,0,74.00185701,25.99814299
L04,UGA,74.49168207,0,0.739371534,2.680221811,0,1.756007394,3.696857671,4.898336414,0,6.561922366,2.680221811,0,0,0,1.109057301,0,0,0,0,0,0.739371534,0,0.646950092,77.17190388,21.44177449
L06,UGA,67.34317343,0,0,0,1.47601476,0,15.68265683,0,0,0.922509225,0,13.099631,0,0,0,1.47601476,0,0,0,0,0,0,0,68.81918819,31.18081181
L07,UGA,70.07575758,0,0,0,0,0.662878788,0,0,0,10.70075758,0,0,9.28030303,0,9.28030303,0,0,0,0,0,0,0,0,70.07575758,29.92424242
L01,GHA,32.36842105,0,0,2.98245614,1.49122807,24.29824561,0,0,0,2.368421053,2.98245614,0,0,0,32.01754386,1.49122807,0,0,0,0,0,0,0,36.84210526,63.15789474
L02,GHA,66.60792952,0,0,0,4.052863436,10.39647577,0,0,0,0,0,0,0,0,14.88986784,4.052863436,0,0,0,0,0,0,0,70.66079295,29.33920705
L03,GHA,33.125,0,0,0,5.714285714,28.83928571,0,0,0,13.83928571,0,0,0,0,12.76785714,5.714285714,0,0,0,0,0,0,0,38.83928571,61.16071429
L04,GHA,93.8563327,0,0,0,0.189035917,0,0,0,0,0,0,0,0,0,0,0.189035917,0,0.189035917,0,0,5.576559546,0,0,94.04536862,0.378071834
L05,GHA,15.24926686,0,0,0,22.58064516,6.964809384,32.62463343,0,0,0,0,0,0,0,0,22.58064516,0,0,0,0,0,0,0,37.82991202,62.17008798
L06,GHA,98.53881279,0,0,0,0.547945205,0,0,0,0,0,0,0,0,0,0,0.547945205,0,0,0,0,0.365296804,0,0,99.08675799,0.547945205
