"Country","Landscape..","Household.ID","bundles","cost","total_fuelwood_value","hh_annual_nonfuel_nr_value","Nonfuel_NR_decreasing"
"GHA","L01","13sx7zZ45L7",72,3,216,90,1
"GHA","L01","5xb8kqgFVh9",416,3,1248,420,0
"GHA","L01","87qeDKg8sj5",156,3,468,0,NA
"GHA","L01","aEPhhDYMsKA",208,3,624,420,0.5
"GHA","L01","bnNcJ3bknL7",260,3,780,0,NA
"GHA","L01","dQNLmp8vbx7",104,3,312,60,1
"GHA","L01","dVULAjf4W89",104,3,312,180,NA
"GHA","L01","e4zTqWoHTi",52,3,156,0,1
"GHA","L01","EmjTzkKPcK4",520,3,1560,0,NA
"GHA","L01","FcfWcnPR1A6",260,3,780,180,1
"GHA","L01","GEgBv7HAf68",208,3,624,42,1
"GHA","L01","hy4613HYBr3",440,3,1320,180,1
"GHA","L01","jR5EnTkAqM3",104,3,312,0,1
"GHA","L01","k8zEL6BmKHB",312,3,936,0,NA
"GHA","L01","KSchTBWs2p7",104,3,312,6,1
"GHA","L01","n3hCRp3nTfB",208,3,624,0,NA
"GHA","L01","njfYPSwX6c8",312,3,936,100,1
"GHA","L01","PXb5NT8y8n6",52,3,156,12,1
"GHA","L01","qG2u89ePnM3",208,3,624,0,1
"GHA","L01","qqEgat4rGk9",312,3,936,6,1
"GHA","L01","qy7poFPTo22",156,3,468,260,1
"GHA","L01","rvasPDxnwj3",780,3,2340,0,NA
"GHA","L01","UDYnaavH8U3",312,3,936,180,1
"GHA","L01","V42v2Qoi8j3",312,3,936,110,1
"GHA","L01","vz6UQ8NGgEA",312,3,936,0,1
"GHA","L01","Xg5bY5Ztxx2",676,3,2028,80,NA
"GHA","L01","ZgVCya2zX73",156,3,468,10,1
"GHA","L01","ZsXLTqgEPA2",104,3,312,95,0.333333333333333
"GHA","L02","aC1Yp9Vbbb9",364,3,1092,440,0.6
"GHA","L02","ArjKWQXjiQ2",104,3,312,72,1
"GHA","L02","arUegScQDF9",2,3,6,0,NA
"GHA","L02","BNLAgvK3aCA",312,3,936,100,1
"GHA","L02","fkisAfkhBS2",5,3,15,5200,1
"GHA","L02","gEi4dQZTGjA",6,3,18,0,NA
"GHA","L02","GLaBCfmRHT9",312,3,936,48,1
"GHA","L02","go6Ch5Km3k7",364,3,1092,440,0.5
"GHA","L02","h9yzMoqrEr7",104,3,312,40,1
"GHA","L02","HK4BRArXjD6",4,3,12,0,NA
"GHA","L02","LcDR4MVNrw",104,3,312,424,1
"GHA","L02","MdadqCNEiL",208,3,624,79,0.5
"GHA","L02","MFMymqGXjf8",156,3,468,480,0.75
"GHA","L02","Ny58V5eghz7",51,3,153,0,NA
"GHA","L02","NZwEq9cA5VB",884,3,2652,240,1
"GHA","L02","oJSmP1FYvbB",104,3,312,100,1
"GHA","L02","pEa2FhYEyQ2",416,3,1248,180,1
"GHA","L02","RkxgfouGkY6",468,3,1404,0,NA
"GHA","L02","SAvMdkgq8K4",120,3,360,365,0.8
"GHA","L02","sSK4YGpVFE3",48,3,144,109,0.8
"GHA","L02","tcEkwscfpH4",104,3,312,0,1
"GHA","L02","tKy51hwqVM2",12,3,36,0,NA
"GHA","L02","vyxUdnM5dv5",156,3,468,388,0.75
"GHA","L02","Wth4nHzDVc8",6,3,18,0,NA
"GHA","L02","XiQuiDjntD2",1,3,3,12.5,1
"GHA","L02","XqoC5saQNR5",156,3,468,0,0.666666666666667
"GHA","L03","1YyZC8Zyxy7",156,3,468,0,NA
"GHA","L03","2w6GUTeKDd",156,3,468,0,NA
"GHA","L03","56esinYPtWB",1560,3,4680,52,1
"GHA","L03","5G241XCT6VA",52,3,156,30,0.5
"GHA","L03","5JcGGbr2Y88",520,3,1560,48,1
"GHA","L03","5o639Qfu5Q8",52,3,156,0,1
"GHA","L03","bvFDUPT6cv8",52,3,156,220,1
"GHA","L03","C7yu9JZpZ96",208,3,624,240,0.666666666666667
"GHA","L03","dWWPvz9La34",416,3,1248,40,1
"GHA","L03","eaQik5x8C35",416,3,1248,80,1
"GHA","L03","f4fJfgvzWm3",416,3,1248,83,0.666666666666667
"GHA","L03","GDXUCUdQZB6",104,3,312,20,0
"GHA","L03","GPMVX5tyrx4",208,3,624,100,1
"GHA","L03","HYK4pqongQ7",260,3,780,280,1
"GHA","L03","ignYVcEWdh6",312,3,936,3,1
"GHA","L03","K5Z7A224KK7",312,3,936,200,1
"GHA","L03","kLYaJ3DYGC7",156,3,468,0,NA
"GHA","L03","Kte7LVWAkq7",156,3,468,0,NA
"GHA","L03","oGAiiS5KTH6",156,3,468,590,0.5
"GHA","L03","phfDZ3p9QE5",520,3,1560,60,1
"GHA","L03","qaB9PRByhQ7",520,3,1560,300,1
"GHA","L03","TfTiB3qRvU2",52,3,156,400,1
"GHA","L03","UmXMMFYwnL4",156,3,468,149,0.666666666666667
"GHA","L03","UNJbgF8rDE4",312,3,936,80,1
"GHA","L03","w5r45534D96",104,3,312,8,1
"GHA","L03","wtorB9F7hm5",156,3,468,160,0.666666666666667
"GHA","L03","ymaHgFS7sD7",156,3,468,0,NA
"GHA","L03","YqAFB2BMNLB",156,3,468,0,NA
"GHA","L04","5rf37agRoT5",52,3,156,40,0
"GHA","L04","7PXpD9kuLR3",416,3,1248,0,NA
"GHA","L04","9M4qT2DMJj",208,3,624,25,1
"GHA","L04","AKMWbrcHqo7",156,3,468,0,NA
"GHA","L04","AZbZLMWXXU5",468,3,1404,20,0
"GHA","L04","cC52Z4XDyF4",1040,3,3120,264,1
"GHA","L04","dfyqb4HLxn8",468,3,1404,88,0
"GHA","L04","ev9j4bGtBTB",260,3,780,60,1
"GHA","L04","eze6AQDVxQ4",156,3,468,40,0
"GHA","L04","HJ9K9FonFCA",364,3,1092,240,0
"GHA","L04","LMzw8JsSze",312,3,936,120,0
"GHA","L04","NqtNJxp3qaB",104,3,312,8,0
"GHA","L04","P6yZhzEGVc6",52,3,156,0,0
"GHA","L04","qAcLcu8zBx5",104,3,312,0,NA
"GHA","L04","qie8QYVB3s6",104,3,312,8,1
"GHA","L04","rzTsdWdr6y3",520,3,1560,40,1
"GHA","L04","tsyzA3E2k36",24,3,72,0,NA
"GHA","L04","v5AnXEEYcG3",104,3,312,8,1
"GHA","L04","vVmon4etMR7",104,3,312,400,0.5
"GHA","L04","wbguRJt7c17",624,3,1872,0,NA
"GHA","L04","WgmUQnWemm7",676,3,2028,40,1
"GHA","L04","X4aAZpreBL7",156,3,468,40,1
"GHA","L04","zbPhVbZ2hNA",104,3,312,820,1
"GHA","L04","zebc4qh1zU8",52,3,156,20,0
"GHA","L04","znLkiipm6hB",208,3,624,4,0
"GHA","L05","4DD1mGbS2b6",208,3,624,0,1
"GHA","L05","6o1LRkbmmy9",156,3,468,0,NA
"GHA","L05","6rFDY18oMR9",208,3,624,0,NA
"GHA","L05","FEggU1cWz95",208,3,624,0,NA
"GHA","L05","FYM9NczMwv9",52,3,156,0,NA
"GHA","L05","fyW9nSiREpA",208,3,624,0,NA
"GHA","L05","gggGZ6AgZ6A",156,3,468,0,NA
"GHA","L05","HqDbz9qjXL",104,3,312,400,1
"GHA","L05","JsGWt7k9dz2",24,3,72,0,0
"GHA","L05","jVAvmnH4bS6",156,3,468,0,0
"GHA","L05","LFwa12jnrL2",104,3,312,0,NA
"GHA","L05","Ly7CbRbwGm9",156,3,468,0,NA
"GHA","L05","mKsBRiEXdL6",208,3,624,0,NA
"GHA","L05","nMZQwMPqKU4",312,3,936,0,NA
"GHA","L05","o1aKSCrDRMB",156,3,468,0,NA
"GHA","L05","pdf1PrAkhV",156,3,468,0,NA
"GHA","L05","PpJDFyaTPe6",104,3,312,0,NA
"GHA","L05","QFh29fHsCvA",312,3,936,80,1
"GHA","L05","QYtwXPgNBa3",104,3,312,0,0
"GHA","L05","SGWDY8X7yo4",520,3,1560,26000,1
"GHA","L05","U18xstU8LR7",52,3,156,4,0
"GHA","L05","U7thyS2zJj8",156,3,468,40,0
"GHA","L05","uF4YRcniT69",208,3,624,40,1
"GHA","L05","wGsPM221dM8",156,3,468,0,NA
"GHA","L05","wTASpGRGc38",156,3,468,0,NA
"GHA","L05","WX9WPcwEjJ9",364,3,1092,0,NA
"GHA","L05","XEA6aofdZo5",364,3,1092,0,NA
"GHA","L05","zAweUkHmCz8",312,3,936,0,NA
"GHA","L05","zwCpRhKnPo9",12,3,36,0,NA
"GHA","L06","1HhLECbGhy6",52,3,156,0,NA
"GHA","L06","2Q7MnSV2oJ5",416,3,1248,72,0
"GHA","L06","3262VdP66d2",7,3,21,0,NA
"GHA","L06","4TJsubF6Yx6",124,3,372,0,0
"GHA","L06","4xFbY5oyU82",52,3,156,100,1
"GHA","L06","5UXNFVq35e8",12,3,36,2600,1
"GHA","L06","7KKdwdFxzG7",156,3,468,700,1
"GHA","L06","bJGfxV1Xw6",208,3,624,8,0
"GHA","L06","BwcbgH6pxh9",1820,3,5460,64,1
"GHA","L06","c4ZGhkt4uq2",208,3,624,420,0.666666666666667
"GHA","L06","CTRQQXCQTVB",312,3,936,120,1
"GHA","L06","DEyNXLrfRG2",128,3,384,160,1
"GHA","L06","E3EGXT3BJS5",76,3,228,0,NA
"GHA","L06","eYyzj3xgGn8",260,3,780,88,1
