"Country","Landscape..","Mean_Annual_Fuelwood_Value","Fuelwood_Decreasing","Fuelwood_Shortage_Past_Year","Fuelwood_From_Natural_Areas","Nonfuel_NR_annual_value","Nonfuel_NR_decreasing","Collects_Nonfuel_Resources"
"GHA","L01",773.571428571429,0.916666666666667,0.16,0.833333333333333,83.8275862068966,0.891666666666667,0.758620689655172
"GHA","L02",527.423076923077,0.666666666666667,0.333333333333333,0.1,300.603448275862,0.86140350877193,0.633333333333333
"GHA","L03",835.714285714286,1,0,0.0333333333333333,115.433333333333,0.847222222222222,0.8
"GHA","L04",820.32,0,0.5,0.0666666666666667,80.8620689655172,0.431818181818182,0.733333333333333
"GHA","L05",557.793103448276,NA,NA,0.0333333333333333,885.466666666667,0.5,0.333333333333333
"GHA","L06",901.642857142857,0.75,0.35,0.4,722.227272727273,0.770171957671958,0.8
"RWA","L01",343920,1,1,0.116666666666667,0,NA,0
"RWA","L02",107200,NA,NA,0,0,NA,0
"RWA","L03",161360,NA,NA,0,2166.66666666667,1,0.0333333333333333
"RWA","L04",154758.620689655,0.875,0.625,0.266666666666667,0,1,0.0344827586206897
"RWA","L06",271520,0.952380952380952,0.952380952380952,0.35,1900,0.5,0.0666666666666667
"RWA","L07",164400,NA,NA,0,0,NA,0
"TZA","L03",366177.811066667,1,0.217391304347826,0.766666666666667,6200,1,0.466666666666667
"TZA","L10",291133.3598,0.866666666666667,0,0.5,23466.6666666667,0.78125,0.533333333333333
"TZA","L11",179287.37262069,1,0,0.966666666666667,1733.33333333333,1,0.333333333333333
"TZA","L18",381088.923533333,1,0,0.5,105933.333333333,0.9,0.666666666666667
"TZA","L19",365688.922133333,1,0.0344827586206897,0.966666666666667,59866.6666666667,1,0.3
"TZA","L20",403071.465214286,1,0.366666666666667,1,2266.66666666667,1,0.233333333333333
"TZA","L22",273533.3582,1,0,1,18533.3333333333,0.962962962962963,0.9
"UGA","L01",2036000,0.4375,0.1875,0.533333333333333,711426.666666667,0.846153846153846,0.866666666666667
"UGA","L02",1825333.33333333,0.823529411764706,0.764705882352941,0.566666666666667,25600,0.857142857142857,0.241379310344828
"UGA","L03",2125333.33333333,1,0.357142857142857,0.933333333333333,16240,0.866666666666667,0.333333333333333
"UGA","L04",1961333.33333333,0.75,0.583333333333333,0.4,52906.6666666667,0.59375,0.533333333333333
"UGA","L06",1773333.33333333,0.590909090909091,0.318181818181818,0.733333333333333,92713.3333333333,0.576923076923077,0.433333333333333
"UGA","L07",1656000,0.941176470588235,0.705882352941177,0.566666666666667,99400,0.856060606060606,0.733333333333333
