"key","country","scale","year","landscape","pc_cons_2011","headcount","poverty_gap","wkt_geom","Country","Landscape..","Center_X","Center_Y"
"GHA10","GHA","Landscape","2015",10,0,0,0,NA,NA,NA,NA,NA
"GHA11","GHA","Landscape","2015",11,0,0.087431693989071,0.00297847521220909,NA,NA,NA,NA,NA
"GHA3","GHA","Landscape","2015",3,0,0,0,"Polygon ((-0.92631340026855469 7.66378974914550781, -0.92631340026855469 7.75420951843261719, -0.83568572998046875 7.75420951843261719, -0.83568572998046875 7.66378974914550781, -0.92631340026855469 7.66378974914550781))","GHA","L03",-0.881,7.709
"GHA4","GHA","Landscape","2015",4,0,0,0,"Polygon ((-1.5391998291015625 6.50678825378417969, -1.5391998291015625 6.59721183776855469, -1.44879913330078125 6.59721183776855469, -1.44879913330078125 6.50678825378417969, -1.5391998291015625 6.50678825378417969))","GHA","L04",-1.494,6.552
"GHA5","GHA","Landscape","2015",5,0,0,0,"Polygon ((-2.62308311462402344 5.04728507995605469, -2.62308311462402344 5.13771629333496094, -2.53291511535644531 5.13771629333496094, -2.53291511535644531 5.04728507995605469, -2.62308311462402344 5.04728507995605469))","GHA","L05",-2.578,5.0925
"GHA6","GHA","Landscape","2015",6,0,0.192118226600985,0.050765350051248,"Polygon ((-0.55583000183105469 5.68278694152832031, -0.55583000183105469 5.77321434020996094, -0.46556854248046875 5.77321434020996094, -0.46556854248046875 5.68278694152832031, -0.55583000183105469 5.68278694152832031))","GHA","L06",-0.5107,5.728
"GHA7","GHA","Landscape","2015",7,0,0.0481927710843374,0.0153936001414632,NA,NA,NA,NA,NA
"GHA8","GHA","Landscape","2015",8,0,0.0396825396825397,0.00493476607906988,NA,NA,NA,NA,NA
"GHA9","GHA","Landscape","2015",9,0,0,0,NA,NA,NA,NA,NA
"TZA1","TZA","Landscape","2015",1,0,0,0,NA,NA,NA,NA,NA
"TZA12","TZA","Landscape","2014",12,0,0.518918918918919,0.188280705305879,NA,NA,NA,NA,NA
"TZA13","TZA","Landscape","2015",13,0,0.147826086956522,0.0102595678604123,NA,NA,NA,NA,NA
"TZA14","TZA","Landscape","2014",14,0,0.414201183431953,0.144534169960765,NA,NA,NA,NA,NA
"TZA15","TZA","Landscape","2014",15,0,0.163265306122449,0.0764951652695219,NA,NA,NA,NA,NA
"TZA16","TZA","Landscape","2014",16,0,0.25187969924812,0.0391908786777597,NA,NA,NA,NA,NA
"TZA17","TZA","Landscape","2015",17,0,0.289473684210526,0.067778475559759,NA,NA,NA,NA,NA
"TZA2","TZA","Landscape","2015",2,0,0,0,"Polygon ((31.51086413898207184 -7.72461015570303289, 31.51086413898207184 -7.63499511866126568, 31.60069566739406355 -7.63499511866126568, 31.60069566739406355 -7.72461015570303289, 31.51086413898207184 -7.72461015570303289))","TZA","L02",31.6007,-7.72461
"TZA8","TZA","Landscape","2015",8,0,0.50625,0.20084733133964,NA,NA,NA,NA,NA
