"Country","Landscape..","Household.ID","Round","No_Toilet","Flush_Toilet","Pit_Latrine","Satisfied_Drinking_Water","Unsatisfied_Drinking_Water","Dispose_Garbage_Within_Compound","No_Measure_Safe_Drinking_Water"
"GHA","L02","NZwEq9cA5VB","1",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"GHA","L02","BNLAgvK3aCA","1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"GHA","L02","aC1Yp9Vbbb9","1",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"GHA","L02","MFMymqGXjf8","1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"GHA","L02","go6Ch5Km3k7","1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"GHA","L02","XqoC5saQNR5","1",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"GHA","L02","h9yzMoqrEr7","1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"GHA","L02","vyxUdnM5dv5","1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"TZA","L10","VpdWTmuL8k8","1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"TZA","L10","Rmvq4s33Ev8","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"TZA","L10","j5dyUZUjo25","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"TZA","L10","kRcrpHwnrk4","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"TZA","L10","mWbvKsGPM14","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"TZA","L10","LmNxHx7ukq2","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"TZA","L10","9ES5SSTauT6","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"TZA","L10","gULVGjZq1b6","1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"TZA","L10","PZ5Q2bVsEX8","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"TZA","L10","KqZvf5fBTQ7","1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"TZA","L10","qBummgzDBd8","1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"TZA","L10","ZRuCufE5rt9","1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"TZA","L10","SUdaBvN6yMB","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"TZA","L10","2GJh9RvP6U3","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"TZA","L10","7NvFkzHDPpA","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"TZA","L10","6gioKTgu1a9","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"TZA","L10","ZAXs3MY83J","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"TZA","L10","N1YUZvnVaG5","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"TZA","L10","SGWnjCX1hJ3","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"TZA","L10","nZ3uwA7syq7","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"TZA","L10","p5n6hjGyeL","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"TZA","L10","g2ZqebmF5z8","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"GHA","L02","GLaBCfmRHT9","1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"GHA","L02","LcDR4MVNrw","1",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"TZA","L18","xkrLWnDGpw7","1",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
"TZA","L10","yPna76R7KH6","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"TZA","L18","UDim1j4z9K9","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"TZA","L18","oDSCEcXBzq3","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"TZA","L18","v2cqtKhhmEB","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"TZA","L18","2zFRVcySNg6","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"TZA","L18","HWkzcSXQNG2","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"TZA","L18","7GEs4txMBL9","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"TZA","L18","ZSL3mumZ4X8","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"TZA","L18","6s9v6agXWi3","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"TZA","L18","KWsyirYykp","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"TZA","L18","vvfZmP19Kx","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"TZA","L18","AcecNqxEnz4","1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"TZA","L18","sApJeip8V38","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"TZA","L18","fKYGZhSCHi5","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"TZA","L18","9921bP6EeY4","1",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
"TZA","L18","6NYkNXf4fW6","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"TZA","L18","TbNKmfWhji9","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"TZA","L19","KeAxwek3yC4","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"TZA","L19","jiVQaMk2ZR","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"TZA","L18","JsmhauRP8E9","1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"TZA","L18","ayZb55CgmK4","1",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
"TZA","L19","Mf1iaj3mXF6","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"TZA","L19","sAJq9uruKa3","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"TZA","L19","BcLx8GwEyf5","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"TZA","L19","W5cRAyZKiP3","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"TZA","L19","QnVf7PaErv","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"TZA","L19","aFuKnt435e8","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"TZA","L19","ziHZfbph8gA","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"TZA","L19","4LtjetWmyU6","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
