"Country","Landscape..","No_Toilet","Flush_Toilet","Pit_Latrine","Satisfied_Drinking_Water","Unsatisfied_Drinking_Water","Dispose_Garbage_Within_Compound","No_Measure_Safe_Drinking_Water"
"GHA","L01",0.7,0,0.3,1,0,0.5,0.966666666666667
"GHA","L02",0.533333333333333,0,0.466666666666667,1,0,0,0.866666666666667
"GHA","L03",0.433333333333333,0,0.5,0.866666666666667,0.1,0.0666666666666667,0.933333333333333
"GHA","L04",0.133333333333333,0.0666666666666667,0.8,0.966666666666667,0,0.0333333333333333,0.966666666666667
"GHA","L05",0.433333333333333,0.133333333333333,0.433333333333333,1,0,0.333333333333333,1
"GHA","L06",0.22,0,0.78,0.78,0.12,0.18,0.82
"RWA","L01",0.05,0,0.95,0.566666666666667,0.1,0.983333333333333,0.816666666666667
"RWA","L02",0.0333333333333333,0,0.966666666666667,0.966666666666667,0,1,0.166666666666667
"RWA","L03",0.0333333333333333,0,0.966666666666667,0.7,0.166666666666667,1,0.666666666666667
"RWA","L04",0.161290322580645,0,0.838709677419355,0.870967741935484,0,1,0.516129032258065
"RWA","L06",0.0163934426229508,0,0.983606557377049,0.868852459016393,0.0163934426229508,1,0.344262295081967
"RWA","L07",0,0,1,0.733333333333333,0,1,0.833333333333333
"TZA","L03",0,0,1,0.866666666666667,0,0.5,0.833333333333333
"TZA","L10",0,0,1,0.933333333333333,0,0.8,0.8
"TZA","L11",0,0.0666666666666667,0.933333333333333,0.933333333333333,0,0.1,0.566666666666667
"TZA","L18",0,0,1,0.766666666666667,0.233333333333333,0.9,0.533333333333333
"TZA","L19",0,0,1,0.933333333333333,0.0333333333333333,1,0.733333333333333
"TZA","L20",0.0666666666666667,0.0333333333333333,0.9,0.966666666666667,0.0333333333333333,0.533333333333333,0.866666666666667
"TZA","L22",0,0,1,0.9,0.0333333333333333,0.133333333333333,0.933333333333333
"UGA","L01",0.0666666666666667,0,0.933333333333333,0.6,0.1,0.1,0.733333333333333
"UGA","L02",0,0,1,0.966666666666667,0,0.1,0.533333333333333
"UGA","L03",0,0,1,0.933333333333333,0.0333333333333333,0.2,0.133333333333333
"UGA","L04",0.0333333333333333,0,0.966666666666667,0.566666666666667,0.266666666666667,0,0.333333333333333
"UGA","L06",0,0,1,0.866666666666667,0.0333333333333333,0.0333333333333333,0.833333333333333
"UGA","L07",0.166666666666667,0,0.833333333333333,0.833333333333333,0.0333333333333333,0.0666666666666667,0.8
