"Country","Landscape..","Household.ID","Round","survey_uuid","shortage_year","number_meals","diversity","Nonfood.Spending","Food.Consumption.Value","Food.Spending","Food_As_Percent_Total_Spending","median_field_size","Total_Area_Farmed","intercrop_rate","pesticide","herbicide","fungicide","yield_quantile","avg_pct_crops_any_sold","pct_fields_irrigated","pct_fields_inorganic_fert","pct_buy_seed","number_fields","Total_Area_Owned","Crops","Permanent.Crops","Livestock.Byproducts","Livestock","Crop.Byproducts","total","Bananas","Maize","Paddy","Sorghum","Bulrush.Millet","Finger.Millet","Wheat","Cassava","Sweet.Potatoes","Irish.Potatoes","Yams","Onions","Beans","Pigeon.Pea","Field.Peas","Sunflower","Sesame.Simsim","Groundnut","Palm.Oil","Coconut","Cashew.Nut","Soyabeans","Cotton","Pyrethrum","Coffee","Tea","Cocoa","Rubber","Sugar.Cane","Pineapple","Orange","Tomatoes","Chilies","Egg.Plant","Okra","Timber","Good_Soil","Bad_Soil","erosion_control","Male.Gender","Male.Literacy.Rate","Male.Percent.Attended.School","Male.Percent.Worked.Recently","Male.Mean.Hours.Worked.Last.Week","Male.Percent.Operated.Business","Male.Percent.Collects.Firewood","Male.Mean.Hours.Spent","Female.Gender","Female.Literacy.Rate","Female.Percent.Attended.School","Female.Percent.Worked.Recently","Female.Mean.Hours.Worked.Last.Week","Female.Percent.Operated.Business","Female.Percent.Collects.Firewood","Female.Mean.Hours.Spent","HH.Head.Gender","income_own","income_wage","income_crops","income_perm_crop","income_lvstk_byprod","income_byprod","income_lvstk","cost_seeds","cost_org_fert","cost_syn_fert","cost_pesticide","Total_Income","AgIncome","NonAgIncome","AgInvestments","size","literate","years","age","bundles","cost","total_fuelwood_value","hh_annual_nonfuel_nr_value","Nonfuel_NR_decreasing","No_Toilet","Flush_Toilet","Pit_Latrine","Satisfied_Drinking_Water","Unsatisfied_Drinking_Water","Dispose_Garbage_Within_Compound","No_Measure_Safe_Drinking_Water"
"RWA","L01","2AzeKX3Xdj9",1,"8d32985f-78de-4f99-9f81-a93df95704dd",TRUE,2,0.642857142857143,1005659.03963134,226809,292505.4,22.5322302067578,0.1704,0.4516,0,0,0,0,2.28571428571429,0,0,0.666666666666667,0.428571428571429,4,0.2187,326000,45000,204000,0,0,575000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.666666666666667,TRUE,"Male",0.25,0.5,1,NA,0,0.25,5,"Female",0.5,0.75,0.75,NA,0,0.25,5,"Male",521428.6,0,0,2000,0,0,0,5600,0,1850,0,523428.6,2000,521428.6,7450,8,0.375,1.25,14.125,312,600,187200,0,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"RWA","L01","4uYtGb6q1h5",1,"d929eaf6-c781-45cc-8649-a4f9ca951f76",TRUE,2,0.557142857142857,239153.367741935,130350,548773.5,69.6477709375099,0.1052,0.3377,0.333333333333333,0,0,0,NA,0.428571428571429,0,0.75,0.666666666666667,4,0.3377,54100,105000,60000,0,0,219100,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.5,0.5,TRUE,"Male",1,1,1,35,0,1,5,"Female",0.333333333333333,0.333333333333333,1,NA,0,0.333333333333333,5,"Male",0,255500,17000,105000,0,0,0,20900,0,0,0,377500,122000,255500,20900,4,0.5,1.75,14.25,208,600,124800,0,NA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
"RWA","L01","8DoKMFq9rv7",1,"9311c5b2-492b-4a3b-97ee-69e060f6af7f",TRUE,2,0.328571428571429,102547.677419355,198132,15642,13.2346583403387,0.1389,0.2778,0,0.25,0,0,3,0.2,0,0.25,0.4,2,0.2778,86150,40000,15000,10000,0,151150,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"Female",0,0.333333333333333,1,NA,0,0.333333333333333,5,"Female",0,0,3200,32000,0,0,10000,12350,0,0,1200,45200,45200,0,13550,3,0,0.666666666666667,27.6666666666667,104,600,62400,0,NA,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"RWA","L01","9upFZJLCfM2",1,"302e1e76-f060-4c1a-8657-2bf7330939a6",TRUE,2,0.285714285714286,163746.494009217,573540,15642,8.71962278650734,0.1538,0.4502,0,0.166666666666667,0,0,1.625,0,0,0.833333333333333,0.875,3,0.4502,33130,0,144000,2e+05,0,377130,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.666666666666667,TRUE,"Male",0,0.4,0.75,0,0,0.4,1,"Female",0.25,0.5,1,NA,0,0.5,1,"Male",0,312857.16,0,0,0,0,2e+05,13800,0,0,500,512857.16,2e+05,312857.16,14300,9,0.111111111111111,1,16,272,600,163200,0,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"RWA","L01","aDnodjimek6",1,"43ebe68c-cf9b-4467-86f1-915a32b6bcf5",FALSE,2,0.328571428571429,15460.1290322581,386878.8,80817,83.9420543719391,0.1952,0.3904,0.25,0,0,0,NA,0,0,0.5,0.75,3,0.1376,21250,5000,50000,15000,4000,95250,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,TRUE,"Male",1,1,1,35,0,0,NA,"Female",0.666666666666667,0.666666666666667,1,NA,0,1,1.33333333333333,"Male",0,120000,0,5000,0,0,15000,750,0,1200,0,140000,20000,120000,1950,4,0.75,2.5,41.75,312,600,187200,0,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"RWA","L01","Ag8CWapFXT9",1,"eb45e3e5-8c94-46d0-8c7a-713f1cc3e5fa",FALSE,2,0.314285714285714,168136.571428571,245058,246622.2,59.4615996065734,0.50365,2.1535,0.375,0,0,0,3.125,0.25,0,0.75,0.625,4,2.1535,284900,8000,14000,0,7998,314898,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,TRUE,"Male",1,1,1,NA,0,1,3,"Female",1,1,1,NA,0,1,5.33333333333333,"Male",240000,0,37000,43000,60000,0,0,27100,0,0,0,380000,140000,240000,27100,6,1,6.83333333333333,31.1666666666667,376,600,225600,0,NA,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"RWA","L01","bW7iZTf8uW7",1,"c2ea5319-61b3-47fd-aa36-3cec5d275103",TRUE,2,0.4,210613.693087558,524007,84466.8,28.625003000431,0.0713,0.1426,1,0,0,0,NA,0,0,0,0,2,0.1426,41000,0,20000,27000,9000,97000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,TRUE,"Male",0.5,0.5,1,50,0,0,NA,"Female",1,1,1,10,0,1,4,"Male",0,312428.58,0,0,0,0,27000,0,0,0,0,339428.58,27000,312428.58,0,3,0.666666666666667,3.66666666666667,19,104,600,62400,0,NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"RWA","L01","CxdDadFVXS7",1,"f78a2d3b-5474-46b9-a882-2ed7af2bb257",TRUE,2,0.371428571428571,237007.632258065,1905717,130350,35.4831337513714,0.0894,0.3367,0.4,0,0,0,NA,1,NA,1,0,3,0.3367,59000,0,16000,47000,5000,127000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.666666666666667,TRUE,"Male",0,1,1,NA,0,1,4,"Female",0,0,1,NA,0,1,2,"Female",0,0,16400,0,3000,0,47000,0,0,0,0,66400,66400,0,0,3,0,1.66666666666667,28,220,600,132000,0,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"RWA","L01","cZWWUyRwuTA",1,"d832a557-e0c0-45f1-831f-843d344a47cf",FALSE,2,0.557142857142857,2897188.15852535,849882,558419.4,16.1598037549814,0.37545,1.3943,0,0,0,0,3.83333333333333,0.25,0,0.5,0.285714285714286,4,1.3943,290600,0,180000,206000,0,676600,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,TRUE,"Male",0.857142857142857,1,1,31.5,0,0.285714285714286,5.5,"Female",1,1,1,NA,0,0.5,5,"Male",0,420000,12000,0,0,0,206000,2600,0,950,0,638000,218000,420000,3550,9,0.888888888888889,6.55555555555556,24.6666666666667,468,600,280800,0,NA,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"RWA","L01","e2RyT8u9Vs5",1,"ec43981f-6be3-4ead-9bc5-3088d38ff2e3",TRUE,2,0.542857142857143,335173.861751152,224202,359766,51.769371682528,0.2658,0.2658,0.666666666666667,0,0,0,3,0,0,0,1,1,0.2658,17000,0,120000,2e+05,1500,338500,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,TRUE,"Male",0,1,1,14,0,1,5,"Female",0,0.666666666666667,1,0,0,0.666666666666667,6,"Male",0,252000,0,0,0,0,2e+05,23000,0,0,0,452000,2e+05,252000,23000,4,0,1.5,33.5,520,600,312000,0,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
