"date","country","rate"
"8/6/2017","TZA",1981.99373
"7/30/2017","TZA",1981.2855
"7/23/2017","TZA",1982.17079
"7/16/2017","TZA",1983.05608
"7/9/2017","TZA",1979.51491
"7/2/2017","TZA",1981.2855
"6/25/2017","TZA",1982.17079
"6/18/2017","TZA",1981.2855
"6/11/2017","TZA",1981.2855
"6/4/2017","TZA",1981.2855
"5/28/2017","TZA",1979.51491
"5/21/2017","TZA",1979.51491
"5/14/2017","TZA",1980.40021
"5/7/2017","TZA",1977.74433
"4/30/2017","TZA",1978.62962
"4/23/2017","TZA",1978.62962
"4/16/2017","TZA",1979.51491
"4/9/2017","TZA",1977.74433
"4/2/2017","TZA",1976.85903
"3/26/2017","TZA",1982.67351
"3/19/2017","TZA",1981.78601
"3/12/2017","TZA",1981.78601
"3/5/2017","TZA",1981.78601
"2/26/2017","TZA",1983.56101
"2/19/2017","TZA",1983.56101
"2/12/2017","TZA",1982.67351
"2/5/2017","TZA",1983.56101
"1/29/2017","TZA",1983.56101
"1/22/2017","TZA",1980.89852
"1/15/2017","TZA",2005.7485
"1/8/2017","TZA",1973.79852
"1/1/2017","TZA",1942.73604
"12/25/2016","TZA",1945.22883
"12/18/2016","TZA",1942.55313
"12/11/2016","TZA",1943.44503
"12/4/2016","TZA",1944.33693
"11/27/2016","TZA",1944.33693
"11/20/2016","TZA",1943.44503
"11/13/2016","TZA",1946.12072
"11/6/2016","TZA",1946.12072
"10/30/2016","TZA",1947.01262
"10/23/2016","TZA",1947.90452
"10/16/2016","TZA",1948.79642
"10/9/2016","TZA",1946.12072
"10/2/2016","TZA",1947.90452
"9/25/2016","TZA",1905.35598
"9/18/2016","TZA",1908.26493
"9/11/2016","TZA",1909.1334
"9/4/2016","TZA",1912.15321
"8/28/2016","TZA",1918.71068
"8/21/2016","TZA",1912.1716
"8/14/2016","TZA",1913.60586
"8/7/2016","TZA",1918.33044
"7/31/2016","TZA",1919.28542
"7/24/2016","TZA",1921.09989
"7/17/2016","TZA",1925.49299
"7/10/2016","TZA",1926.7026
"7/3/2016","TZA",1921.27699
"6/26/2016","TZA",1927.23827
"6/19/2016","TZA",1924.33331
"6/12/2016","TZA",1921.53436
"6/5/2016","TZA",1930.51478
"5/29/2016","TZA",1924.48747
"5/22/2016","TZA",1930.80032
"5/15/2016","TZA",1930.51251
"5/8/2016","TZA",1926.20359
"5/1/2016","TZA",1935.0627
"4/24/2016","TZA",1931.77643
"4/17/2016","TZA",1930.89572
"4/10/2016","TZA",1924.85714
"4/3/2016","TZA",1929.22274
"3/27/2016","TZA",1925.8431
"3/20/2016","TZA",1924.24233
"3/13/2016","TZA",1927.68844
"3/6/2016","TZA",1928.16668
"2/28/2016","TZA",1936.1568
"2/21/2016","TZA",1936.29674
"2/14/2016","TZA",1933.21867
"2/7/2016","TZA",1926.95444
"1/31/2016","TZA",1939.49616
"1/24/2016","TZA",1934.05059
"1/17/2016","TZA",1930.24376
"1/10/2016","TZA",1928.18621
"1/3/2016","TZA",1913.97978
"12/27/2015","TZA",1893.29264
"12/20/2015","TZA",1908.55434
"12/13/2015","TZA",1921.42275
"12/6/2015","TZA",1907.31191
"11/29/2015","TZA",1921.10481
"11/22/2015","TZA",1914.45249
